source,item_id,title_id,title,creators,language,year,period,genre,subfield,biology_hits,subjects,volume_info,barcode,item_url,item_text_url,copyright_status,rights_statement,license_type,rights_holder
BHL,16170,1323,Elementary text-book of zoology,"Claus, Carl, 1835-1899; Sedgwick, Adam, 1854-1913; Sinclair, Frederick Granville, 1858-",ENG,1884,1880_1889,textbook_manual,general_or_unknown,zoology,Zoology; Textbooks,1,elementarytextbo0101clau,https://www.biodiversitylibrary.org/item/16170,https://www.biodiversitylibrary.org/itemtext/16170,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16189,1335,The evolution of man; a series of lectures delivered before the Yale chapter of the Sigma xi during the academic year 1921-1922,"Baitsell, George Alfred, 1885-1971; Lull, Richard Swann, 1867-1957; Ferris, Harry Burr, 1865-1940; Parker, George Howard, 1864-1955; Angell, James Rowland, 1869-1949; Keller, Albert Galloway, 1874-1956; Conklin, Edwin Grant, 1863-1952",ENG,1922,1920_1929,popular_or_essay,evolution_adaptation,evolution,Evolution; Human beings,,evolutionofmanse00bait,https://www.biodiversitylibrary.org/item/16189,https://www.biodiversitylibrary.org/itemtext/16189,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16208,1351,Experimental morphology,"Davenport, Charles Benedict, 1866-1944",ENG,1908,1900_1909,monograph_or_book,comparative_anatomy_morphology,morphology,Growth; Protoplasm,,experimentalmorp00dave,https://www.biodiversitylibrary.org/item/16208,https://www.biodiversitylibrary.org/itemtext/16208,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16218,56658,The primary factors of organic evolution,"Cope, E. D. (Edward Drinker), 1840-1897; Open Court Publishing Company.",ENG,1904,1900_1909,monograph_or_book,evolution_adaptation,evolution,Evolution,,primaryfactorsof00cope,https://www.biodiversitylibrary.org/item/16218,https://www.biodiversitylibrary.org/itemtext/16218,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16296,6534,"Manual of conchology, structural and systematic : with illustrations of the species. Second series, Pulmonata","Tryon, George W., (George Washington), 1838-1888; Baker, H. Burrington (Horace Burrington), 1889-1971; Cooke, C. Montague (Charles Montague), 1874-1948; Hyatt, Alpheus, 1838-1902; Pilsbry, Henry Augustus, 1862-1957",ENG,1906,1900_1909,textbook_manual,taxonomy_systematics,conchology,Mollusks; Pulmonata; Pictorial works,ser.2:v.18 (1906),manualofconcholo18tryo,https://www.biodiversitylibrary.org/item/16296,https://www.biodiversitylibrary.org/itemtext/16296,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16298,6534,"Manual of conchology, structural and systematic : with illustrations of the species. Second series, Pulmonata","Tryon, George W., (George Washington), 1838-1888; Baker, H. Burrington (Horace Burrington), 1889-1971; Cooke, C. Montague (Charles Montague), 1874-1948; Hyatt, Alpheus, 1838-1902; Pilsbry, Henry Augustus, 1862-1957",ENG,1895,1890_1899,textbook_manual,taxonomy_systematics,conchology,Mollusks; Pulmonata; Pictorial works,ser.2:v.10 (1895-1896),manualofconcholo10tryo,https://www.biodiversitylibrary.org/item/16298,https://www.biodiversitylibrary.org/itemtext/16298,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16299,6534,"Manual of conchology, structural and systematic : with illustrations of the species. Second series, Pulmonata","Tryon, George W., (George Washington), 1838-1888; Baker, H. Burrington (Horace Burrington), 1889-1971; Cooke, C. Montague (Charles Montague), 1874-1948; Hyatt, Alpheus, 1838-1902; Pilsbry, Henry Augustus, 1862-1957",ENG,1903,1900_1909,textbook_manual,taxonomy_systematics,conchology,Mollusks; Pulmonata; Pictorial works,ser.2:v.15 (1903),manualofconcholo15tryo,https://www.biodiversitylibrary.org/item/16299,https://www.biodiversitylibrary.org/itemtext/16299,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16302,6534,"Manual of conchology, structural and systematic : with illustrations of the species. Second series, Pulmonata","Tryon, George W., (George Washington), 1838-1888; Baker, H. Burrington (Horace Burrington), 1889-1971; Cooke, C. Montague (Charles Montague), 1874-1948; Hyatt, Alpheus, 1838-1902; Pilsbry, Henry Augustus, 1862-1957",ENG,1891,1890_1899,textbook_manual,taxonomy_systematics,conchology,Mollusks; Pulmonata; Pictorial works,ser.2:v.7 (1891),manualofconcholo07tryo,https://www.biodiversitylibrary.org/item/16302,https://www.biodiversitylibrary.org/itemtext/16302,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16316,33932,"The natural history of British shells : including figures and descriptions of all the species hitherto discovered in Great Britain, systematically arranged in the Linnean manner, with scientific and general observations on each ; in five volumes","Donovan, E. (Edward), 1768-1837",ENG,1803,1800_1829,monograph_or_book,taxonomy_systematics,natural history,Great Britain; Mollusks; Pictorial works; Shells,v.5 (1803),naturalhistoryof05dono,https://www.biodiversitylibrary.org/item/16316,https://www.biodiversitylibrary.org/itemtext/16316,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16356,1447,The coming of evolution; the story of a great revolution in science,"Judd, John W. (John Wesley), 1840-1916",ENG,1910,1910_1919,monograph_or_book,evolution_adaptation,evolution,Evolution; History,,comingofevolutio00judd,https://www.biodiversitylibrary.org/item/16356,https://www.biodiversitylibrary.org/itemtext/16356,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16373,1461,Selected morphological monographs,,ENG,1900,1900_1909,monograph_or_book,comparative_anatomy_morphology,morphology,Echinodermata; Morphology; Hydromedusae; Mollusks,,selectedmorpholo00balt,https://www.biodiversitylibrary.org/item/16373,https://www.biodiversitylibrary.org/itemtext/16373,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16471,927,The British freshwater Rhizopoda and Heliozoa,"Cash, James, 1839-1909; Hopkinson, John, 1844-1919; Wailes, G. H.; Ray Society.",ENG,1905,1900_1909,monograph_or_book,general_or_unknown,animal;animals,Freshwater animals; Great Britain; Heliozoa; Rhizopoda,5,britishfreshwate05cash,https://www.biodiversitylibrary.org/item/16471,https://www.biodiversitylibrary.org/itemtext/16471,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,16546,1582,List of the specimens of British animals in the collection of the British Museum,"British Museum (Natural History). Department of Zoology.; Denny, Henry, 1803-1871; Gray, George Robert, 1808-1872; Gray, John Edward 1800-1875; Shepherd, Edwin.; Smith, Frederick, 1805-1879; Stainton, H. T, (Henry Tibbats) 1822-1892; Stephens, James Francis, 1792-1853; White, Adam, 1817-1879",ENG,1856,1850_1859,catalogue_list,general_or_unknown,animal;animals;zoology,Animals; Great Britain; Zoology; Sponges,pt.5 (1856) [Lepidoptera],listofspecimenspt500brit,https://www.biodiversitylibrary.org/item/16546,https://www.biodiversitylibrary.org/itemtext/16546,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16706,6534,"Manual of conchology, structural and systematic : with illustrations of the species. Second series, Pulmonata","Tryon, George W., (George Washington), 1838-1888; Baker, H. Burrington (Horace Burrington), 1889-1971; Cooke, C. Montague (Charles Montague), 1874-1948; Hyatt, Alpheus, 1838-1902; Pilsbry, Henry Augustus, 1862-1957",ENG,1885,1880_1889,textbook_manual,taxonomy_systematics,conchology,Mollusks; Pulmonata; Pictorial works,ser.2:v.1 (1885),manualofconcholo01tryo,https://www.biodiversitylibrary.org/item/16706,https://www.biodiversitylibrary.org/itemtext/16706,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16731,6534,"Manual of conchology, structural and systematic : with illustrations of the species. Second series, Pulmonata","Tryon, George W., (George Washington), 1838-1888; Baker, H. Burrington (Horace Burrington), 1889-1971; Cooke, C. Montague (Charles Montague), 1874-1948; Hyatt, Alpheus, 1838-1902; Pilsbry, Henry Augustus, 1862-1957",ENG,1915,1910_1919,textbook_manual,taxonomy_systematics,conchology,Mollusks; Pulmonata; Pictorial works,ser.2:v.23 (1915-1916),manualofconcholo23tryo,https://www.biodiversitylibrary.org/item/16731,https://www.biodiversitylibrary.org/itemtext/16731,Public domain. The BHL considers that this work is no longer under copyright protection.,,,
BHL,16743,1682,"Zoological articles contributed to the ""Encyclopaedia Britannica""","Lankester, E. Ray Sir, (Edwin Ray), 1847-1929",ENG,1891,1890_1899,monograph_or_book,general_or_unknown,zoology,Zoology,,zoologicalarticl00lank,https://www.biodiversitylibrary.org/item/16743,https://www.biodiversitylibrary.org/itemtext/16743,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15562,965,"Adephagous and clavicorn Coleoptera from the Tertiary deposits at Florissant, Colorado, with descriptions of a few other forms and a systematic list of the nonrhynchophorous Tertiary Coleoptera of North America","Scudder, Samuel Hubbard, 1837-1911",ENG,1900,1900_1909,catalogue_list,paleontology,paleontology,"Beetles, Fossil; Paleontology; Tertiary",v.40 (1900),adephagousclavic00scud,https://www.biodiversitylibrary.org/item/15562,https://www.biodiversitylibrary.org/itemtext/15562,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15619,991,"The morphology and evolutional significance of the pineal body : being part I of a contribution to the study of the epiphysis cerebri with an interpretation of the morphological, physiological and clinical evidence","Tilney, Frederick, 1875-1938; Warren, Luther Fiske, 1885-",ENG,1919,1910_1919,monograph_or_book,evolution_adaptation,evolution;morphology,Pineal gland,,morphologyevolut00tiln,https://www.biodiversitylibrary.org/item/15619,https://www.biodiversitylibrary.org/itemtext/15619,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15653,61507,A laboratory manual for comparative vertebrate anatomy,"Hyman, Libbie Henrietta, 1888-1969",ENG,1922,1920_1929,textbook_manual,comparative_anatomy_morphology,anatomy,"Anatomy, Comparative; Laboratory manuals",,laboratorymanual00hyma,https://www.biodiversitylibrary.org/item/15653,https://www.biodiversitylibrary.org/itemtext/15653,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
BHL,15674,1028,"Guide to the study of animal ecology,  by Charles C. Adams","Adams, Charles C. (Charles Christopher), 1873-1955",ENG,1913,1910_1919,monograph_or_book,natural_history_ecology_behavior,animal,Animal ecology,,guidetostudyofan00adam,https://www.biodiversitylibrary.org/item/15674,https://www.biodiversitylibrary.org/itemtext/15674,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,
