period,genre,count
1700_1749,catalogue_list,2
1700_1749,monograph_or_book,13
1700_1749,popular_or_essay,1
1750_1799,catalogue_list,3
1750_1799,journal_or_proceedings_volume,4
1750_1799,monograph_or_book,90
1750_1799,popular_or_essay,6
1750_1799,textbook_manual,6
1800_1829,catalogue_list,5
1800_1829,journal_or_proceedings_volume,16
1800_1829,monograph_or_book,216
1800_1829,popular_or_essay,20
1800_1829,textbook_manual,25
1830_1849,catalogue_list,36
1830_1849,journal_or_proceedings_volume,107
1830_1849,monograph_or_book,295
1830_1849,popular_or_essay,15
1830_1849,textbook_manual,21
1850_1859,catalogue_list,56
1850_1859,journal_or_proceedings_volume,51
1850_1859,monograph_or_book,141
1850_1859,popular_or_essay,11
1850_1859,textbook_manual,7
1860_1869,catalogue_list,36
1860_1869,journal_or_proceedings_volume,80
1860_1869,monograph_or_book,177
1860_1869,popular_or_essay,14
1860_1869,textbook_manual,12
1870_1879,catalogue_list,37
1870_1879,journal_or_proceedings_volume,168
1870_1879,monograph_or_book,311
1870_1879,popular_or_essay,8
1870_1879,textbook_manual,16
1880_1889,catalogue_list,48
1880_1889,journal_or_proceedings_volume,111
1880_1889,monograph_or_book,536
1880_1889,popular_or_essay,15
1880_1889,textbook_manual,45
1890_1899,catalogue_list,28
1890_1899,journal_or_proceedings_volume,128
1890_1899,monograph_or_book,617
1890_1899,popular_or_essay,23
1890_1899,textbook_manual,56
1900_1909,catalogue_list,39
1900_1909,journal_or_proceedings_volume,160
1900_1909,monograph_or_book,619
1900_1909,popular_or_essay,14
1900_1909,textbook_manual,41
1910_1919,catalogue_list,41
1910_1919,journal_or_proceedings_volume,172
1910_1919,monograph_or_book,536
1910_1919,popular_or_essay,6
1910_1919,textbook_manual,40
1920_1929,catalogue_list,14
1920_1929,journal_or_proceedings_volume,154
1920_1929,monograph_or_book,192
1920_1929,popular_or_essay,4
1920_1929,textbook_manual,15
1930_1939,catalogue_list,9
1930_1939,journal_or_proceedings_volume,143
1930_1939,monograph_or_book,65
1940_1949,catalogue_list,8
1940_1949,journal_or_proceedings_volume,45
1940_1949,monograph_or_book,63
1950_plus,catalogue_list,1
1950_plus,journal_or_proceedings_volume,56
1950_plus,monograph_or_book,249
pre_1700,catalogue_list,1
pre_1700,monograph_or_book,5
unknown,monograph_or_book,4
