period,subfield,count
1700_1749,natural_history_ecology_behavior,7
1700_1749,paleontology,2
1700_1749,physiology,1
1700_1749,taxonomy_systematics,6
1750_1799,comparative_anatomy_morphology,3
1750_1799,evolution_adaptation,1
1750_1799,general_or_unknown,26
1750_1799,natural_history_ecology_behavior,50
1750_1799,paleontology,1
1750_1799,physiology,2
1750_1799,taxonomy_systematics,26
1800_1829,comparative_anatomy_morphology,34
1800_1829,evolution_adaptation,2
1800_1829,general_or_unknown,63
1800_1829,natural_history_ecology_behavior,87
1800_1829,paleontology,22
1800_1829,physiology,4
1800_1829,taxonomy_systematics,70
1830_1849,comparative_anatomy_morphology,40
1830_1849,embryology_development,7
1830_1849,evolution_adaptation,31
1830_1849,general_or_unknown,121
1830_1849,natural_history_ecology_behavior,119
1830_1849,paleontology,44
1830_1849,physiology,17
1830_1849,taxonomy_systematics,95
1850_1859,comparative_anatomy_morphology,10
1850_1859,embryology_development,3
1850_1859,evolution_adaptation,9
1850_1859,general_or_unknown,76
1850_1859,natural_history_ecology_behavior,65
1850_1859,paleontology,26
1850_1859,physiology,9
1850_1859,taxonomy_systematics,68
1860_1869,comparative_anatomy_morphology,7
1860_1869,embryology_development,5
1860_1869,evolution_adaptation,9
1860_1869,general_or_unknown,108
1860_1869,natural_history_ecology_behavior,105
1860_1869,paleontology,18
1860_1869,physiology,2
1860_1869,taxonomy_systematics,65
1870_1879,comparative_anatomy_morphology,18
1870_1879,embryology_development,6
1870_1879,evolution_adaptation,21
1870_1879,general_or_unknown,249
1870_1879,natural_history_ecology_behavior,99
1870_1879,paleontology,75
1870_1879,physiology,2
1870_1879,taxonomy_systematics,70
1880_1889,comparative_anatomy_morphology,25
1880_1889,embryology_development,13
1880_1889,evolution_adaptation,14
1880_1889,general_or_unknown,370
1880_1889,natural_history_ecology_behavior,151
1880_1889,paleontology,80
1880_1889,physiology,8
1880_1889,taxonomy_systematics,94
1890_1899,comparative_anatomy_morphology,31
1890_1899,embryology_development,29
1890_1899,evolution_adaptation,26
1890_1899,general_or_unknown,404
1890_1899,natural_history_ecology_behavior,191
1890_1899,paleontology,81
1890_1899,physiology,10
1890_1899,taxonomy_systematics,80
1900_1909,comparative_anatomy_morphology,23
1900_1909,embryology_development,19
1900_1909,evolution_adaptation,45
1900_1909,general_or_unknown,395
1900_1909,natural_history_ecology_behavior,201
1900_1909,paleontology,81
1900_1909,physiology,6
1900_1909,taxonomy_systematics,103
1910_1919,comparative_anatomy_morphology,33
1910_1919,embryology_development,14
1910_1919,evolution_adaptation,35
1910_1919,general_or_unknown,396
1910_1919,natural_history_ecology_behavior,132
1910_1919,paleontology,64
1910_1919,physiology,17
1910_1919,taxonomy_systematics,104
1920_1929,comparative_anatomy_morphology,13
1920_1929,embryology_development,5
1920_1929,evolution_adaptation,22
1920_1929,general_or_unknown,225
1920_1929,natural_history_ecology_behavior,51
1920_1929,paleontology,38
1920_1929,physiology,2
1920_1929,taxonomy_systematics,23
1930_1939,general_or_unknown,188
1930_1939,natural_history_ecology_behavior,3
1930_1939,paleontology,9
1930_1939,taxonomy_systematics,17
1940_1949,comparative_anatomy_morphology,2
1940_1949,embryology_development,1
1940_1949,general_or_unknown,81
1940_1949,paleontology,9
1940_1949,taxonomy_systematics,23
1950_plus,comparative_anatomy_morphology,2
1950_plus,embryology_development,32
1950_plus,evolution_adaptation,6
1950_plus,general_or_unknown,143
1950_plus,natural_history_ecology_behavior,84
1950_plus,paleontology,14
1950_plus,physiology,1
1950_plus,taxonomy_systematics,24
pre_1700,general_or_unknown,1
pre_1700,natural_history_ecology_behavior,2
pre_1700,taxonomy_systematics,3
unknown,comparative_anatomy_morphology,1
unknown,general_or_unknown,2
unknown,natural_history_ecology_behavior,1
