source,item_id,title_id,title,creators,language,year,period,genre,non_english_title,subfield,biology_hits,subjects,volume_info,barcode,item_url,item_text_url,copyright_status,rights_statement,license_type,rights_holder,work_id,period_bin
BHL,16170,1323,Elementary text-book of zoology,"Claus, Carl, 1835-1899; Sedgwick, Adam, 1854-1913; Sinclair, Frederick Granville, 1858-",ENG,1884,1880_1889,textbook_manual,0,general_or_unknown,zoology,Zoology; Textbooks,1,elementarytextbo0101clau,https://www.biodiversitylibrary.org/item/16170,https://www.biodiversitylibrary.org/itemtext/16170,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,1323,1870_1889
BHL,16189,1335,The evolution of man; a series of lectures delivered before the Yale chapter of the Sigma xi during the academic year 1921-1922,"Baitsell, George Alfred, 1885-1971; Lull, Richard Swann, 1867-1957; Ferris, Harry Burr, 1865-1940; Parker, George Howard, 1864-1955; Angell, James Rowland, 1869-1949; Keller, Albert Galloway, 1874-1956; Conklin, Edwin Grant, 1863-1952",ENG,1922,1920_1929,popular_or_essay,0,evolution_adaptation,evolution,Evolution; Human beings,,evolutionofmanse00bait,https://www.biodiversitylibrary.org/item/16189,https://www.biodiversitylibrary.org/itemtext/16189,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,1335,1910_1929
BHL,16208,1351,Experimental morphology,"Davenport, Charles Benedict, 1866-1944",ENG,1908,1900_1909,monograph_or_book,0,comparative_anatomy_morphology,morphology,Growth; Protoplasm,,experimentalmorp00dave,https://www.biodiversitylibrary.org/item/16208,https://www.biodiversitylibrary.org/itemtext/16208,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,1351,1890_1909
BHL,16218,56658,The primary factors of organic evolution,"Cope, E. D. (Edward Drinker), 1840-1897; Open Court Publishing Company.",ENG,1904,1900_1909,monograph_or_book,0,evolution_adaptation,evolution,Evolution,,primaryfactorsof00cope,https://www.biodiversitylibrary.org/item/16218,https://www.biodiversitylibrary.org/itemtext/16218,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,56658,1890_1909
BHL,16316,33932,"The natural history of British shells : including figures and descriptions of all the species hitherto discovered in Great Britain, systematically arranged in the Linnean manner, with scientific and general observations on each ; in five volumes","Donovan, E. (Edward), 1768-1837",ENG,1803,1800_1829,monograph_or_book,0,taxonomy_systematics,natural history,Great Britain; Mollusks; Pictorial works; Shells,v.5 (1803),naturalhistoryof05dono,https://www.biodiversitylibrary.org/item/16316,https://www.biodiversitylibrary.org/itemtext/16316,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,33932,1800_1829
BHL,16356,1447,The coming of evolution; the story of a great revolution in science,"Judd, John W. (John Wesley), 1840-1916",ENG,1910,1910_1919,monograph_or_book,0,evolution_adaptation,evolution,Evolution; History,,comingofevolutio00judd,https://www.biodiversitylibrary.org/item/16356,https://www.biodiversitylibrary.org/itemtext/16356,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,1447,1910_1929
BHL,16373,1461,Selected morphological monographs,,ENG,1900,1900_1909,monograph_or_book,0,comparative_anatomy_morphology,morphology,Echinodermata; Morphology; Hydromedusae; Mollusks,,selectedmorpholo00balt,https://www.biodiversitylibrary.org/item/16373,https://www.biodiversitylibrary.org/itemtext/16373,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,1461,1890_1909
BHL,16471,927,The British freshwater Rhizopoda and Heliozoa,"Cash, James, 1839-1909; Hopkinson, John, 1844-1919; Wailes, G. H.; Ray Society.",ENG,1905,1900_1909,monograph_or_book,0,general_or_unknown,animal;animals,Freshwater animals; Great Britain; Heliozoa; Rhizopoda,5,britishfreshwate05cash,https://www.biodiversitylibrary.org/item/16471,https://www.biodiversitylibrary.org/itemtext/16471,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,927,1890_1909
BHL,15619,991,"The morphology and evolutional significance of the pineal body : being part I of a contribution to the study of the epiphysis cerebri with an interpretation of the morphological, physiological and clinical evidence","Tilney, Frederick, 1875-1938; Warren, Luther Fiske, 1885-",ENG,1919,1910_1919,monograph_or_book,0,evolution_adaptation,evolution;morphology,Pineal gland,,morphologyevolut00tiln,https://www.biodiversitylibrary.org/item/15619,https://www.biodiversitylibrary.org/itemtext/15619,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,991,1910_1929
BHL,15653,61507,A laboratory manual for comparative vertebrate anatomy,"Hyman, Libbie Henrietta, 1888-1969",ENG,1922,1920_1929,textbook_manual,0,comparative_anatomy_morphology,anatomy,"Anatomy, Comparative; Laboratory manuals",,laboratorymanual00hyma,https://www.biodiversitylibrary.org/item/15653,https://www.biodiversitylibrary.org/itemtext/15653,Public domain.  The BHL considers that this work is no longer under copyright protection.,,,,61507,1910_1929
