period,genre,count
1700_1749,catalogue_list,5
1700_1749,journal_or_proceedings_volume,1
1700_1749,monograph_or_book,151
1700_1749,popular_or_essay,1
1750_1799,archival_or_report,4
1750_1799,catalogue_list,18
1750_1799,journal_or_proceedings_volume,6
1750_1799,juvenile,9
1750_1799,monograph_or_book,895
1750_1799,popular_or_essay,14
1750_1799,serial_or_periodical,3
1750_1799,textbook_manual,9
1800_1829,archival_or_report,17
1800_1829,catalogue_list,11
1800_1829,journal_or_proceedings_volume,11
1800_1829,juvenile,6
1800_1829,monograph_or_book,1050
1800_1829,popular_or_essay,34
1800_1829,serial_or_periodical,31
1800_1829,textbook_manual,67
1830_1849,archival_or_report,60
1830_1849,catalogue_list,66
1830_1849,journal_or_proceedings_volume,65
1830_1849,juvenile,14
1830_1849,monograph_or_book,1614
1830_1849,popular_or_essay,47
1830_1849,serial_or_periodical,283
1830_1849,textbook_manual,105
1850_1859,archival_or_report,36
1850_1859,catalogue_list,67
1850_1859,journal_or_proceedings_volume,52
1850_1859,juvenile,6
1850_1859,monograph_or_book,714
1850_1859,popular_or_essay,34
1850_1859,serial_or_periodical,237
1850_1859,textbook_manual,43
1860_1869,archival_or_report,35
1860_1869,catalogue_list,52
1860_1869,journal_or_proceedings_volume,56
1860_1869,juvenile,12
1860_1869,monograph_or_book,721
1860_1869,popular_or_essay,28
1860_1869,serial_or_periodical,395
1860_1869,textbook_manual,37
1870_1879,archival_or_report,172
1870_1879,catalogue_list,77
1870_1879,journal_or_proceedings_volume,110
1870_1879,juvenile,9
1870_1879,monograph_or_book,955
1870_1879,popular_or_essay,38
1870_1879,serial_or_periodical,569
1870_1879,textbook_manual,82
1880_1889,archival_or_report,364
1880_1889,catalogue_list,91
1880_1889,journal_or_proceedings_volume,109
1880_1889,juvenile,13
1880_1889,monograph_or_book,1376
1880_1889,popular_or_essay,61
1880_1889,serial_or_periodical,662
1880_1889,textbook_manual,137
1890_1899,archival_or_report,268
1890_1899,catalogue_list,67
1890_1899,journal_or_proceedings_volume,147
1890_1899,juvenile,5
1890_1899,monograph_or_book,1737
1890_1899,popular_or_essay,92
1890_1899,serial_or_periodical,972
1890_1899,textbook_manual,145
1900_1909,archival_or_report,281
1900_1909,catalogue_list,108
1900_1909,journal_or_proceedings_volume,206
1900_1909,juvenile,5
1900_1909,monograph_or_book,1987
1900_1909,popular_or_essay,73
1900_1909,serial_or_periodical,1303
1900_1909,textbook_manual,130
1910_1919,archival_or_report,203
1910_1919,catalogue_list,110
1910_1919,journal_or_proceedings_volume,180
1910_1919,juvenile,1
1910_1919,monograph_or_book,1935
1910_1919,popular_or_essay,37
1910_1919,serial_or_periodical,1343
1910_1919,textbook_manual,119
1920_1929,archival_or_report,139
1920_1929,catalogue_list,41
1920_1929,journal_or_proceedings_volume,66
1920_1929,juvenile,2
1920_1929,monograph_or_book,958
1920_1929,popular_or_essay,22
1920_1929,serial_or_periodical,1066
1920_1929,textbook_manual,68
1930_1939,archival_or_report,122
1930_1939,catalogue_list,40
1930_1939,journal_or_proceedings_volume,51
1930_1939,juvenile,3
1930_1939,monograph_or_book,1213
1930_1939,popular_or_essay,4
1930_1939,serial_or_periodical,597
1930_1939,textbook_manual,18
1940_1949,archival_or_report,81
1940_1949,catalogue_list,27
1940_1949,journal_or_proceedings_volume,28
1940_1949,monograph_or_book,689
1940_1949,popular_or_essay,1
1940_1949,serial_or_periodical,478
1940_1949,textbook_manual,6
1950_plus,archival_or_report,494
1950_plus,catalogue_list,176
1950_plus,journal_or_proceedings_volume,401
1950_plus,juvenile,1
1950_plus,monograph_or_book,6434
1950_plus,popular_or_essay,11
1950_plus,serial_or_periodical,7525
1950_plus,textbook_manual,35
pre_1700,catalogue_list,2
pre_1700,monograph_or_book,116
pre_1700,serial_or_periodical,1
unknown,archival_or_report,5
unknown,catalogue_list,1
unknown,juvenile,1
unknown,monograph_or_book,100
unknown,popular_or_essay,1
unknown,serial_or_periodical,87
unknown,textbook_manual,1
