period,subfield,count
1700_1749,comparative_anatomy_morphology,3
1700_1749,embryology_development,3
1700_1749,general_or_unknown,48
1700_1749,natural_history_ecology_behavior,37
1700_1749,paleontology,18
1700_1749,physiology,5
1700_1749,taxonomy_systematics,44
1750_1799,comparative_anatomy_morphology,18
1750_1799,embryology_development,11
1750_1799,evolution_adaptation,30
1750_1799,general_or_unknown,335
1750_1799,natural_history_ecology_behavior,251
1750_1799,paleontology,51
1750_1799,physiology,14
1750_1799,taxonomy_systematics,248
1800_1829,comparative_anatomy_morphology,96
1800_1829,embryology_development,14
1800_1829,evolution_adaptation,23
1800_1829,general_or_unknown,358
1800_1829,natural_history_ecology_behavior,313
1800_1829,paleontology,84
1800_1829,physiology,22
1800_1829,taxonomy_systematics,317
1830_1849,comparative_anatomy_morphology,168
1830_1849,embryology_development,38
1830_1849,evolution_adaptation,34
1830_1849,general_or_unknown,551
1830_1849,natural_history_ecology_behavior,733
1830_1849,paleontology,287
1830_1849,physiology,50
1830_1849,taxonomy_systematics,393
1850_1859,comparative_anatomy_morphology,55
1850_1859,embryology_development,15
1850_1859,evolution_adaptation,22
1850_1859,general_or_unknown,372
1850_1859,natural_history_ecology_behavior,364
1850_1859,paleontology,163
1850_1859,physiology,38
1850_1859,taxonomy_systematics,160
1860_1869,comparative_anatomy_morphology,69
1860_1869,embryology_development,32
1860_1869,evolution_adaptation,38
1860_1869,general_or_unknown,493
1860_1869,natural_history_ecology_behavior,389
1860_1869,paleontology,151
1860_1869,physiology,10
1860_1869,taxonomy_systematics,154
1870_1879,comparative_anatomy_morphology,107
1870_1879,embryology_development,50
1870_1879,evolution_adaptation,84
1870_1879,general_or_unknown,734
1870_1879,natural_history_ecology_behavior,471
1870_1879,paleontology,321
1870_1879,physiology,19
1870_1879,taxonomy_systematics,226
1880_1889,comparative_anatomy_morphology,132
1880_1889,embryology_development,85
1880_1889,evolution_adaptation,112
1880_1889,general_or_unknown,1132
1880_1889,natural_history_ecology_behavior,680
1880_1889,paleontology,384
1880_1889,physiology,28
1880_1889,taxonomy_systematics,260
1890_1899,comparative_anatomy_morphology,134
1890_1899,embryology_development,128
1890_1899,evolution_adaptation,176
1890_1899,general_or_unknown,1311
1890_1899,natural_history_ecology_behavior,928
1890_1899,paleontology,486
1890_1899,physiology,36
1890_1899,taxonomy_systematics,234
1900_1909,comparative_anatomy_morphology,131
1900_1909,embryology_development,130
1900_1909,evolution_adaptation,235
1900_1909,general_or_unknown,1704
1900_1909,natural_history_ecology_behavior,1018
1900_1909,paleontology,488
1900_1909,physiology,33
1900_1909,taxonomy_systematics,354
1910_1919,comparative_anatomy_morphology,148
1910_1919,embryology_development,108
1910_1919,evolution_adaptation,204
1910_1919,general_or_unknown,1738
1910_1919,natural_history_ecology_behavior,918
1910_1919,paleontology,406
1910_1919,physiology,56
1910_1919,taxonomy_systematics,350
1920_1929,comparative_anatomy_morphology,49
1920_1929,embryology_development,38
1920_1929,evolution_adaptation,130
1920_1929,general_or_unknown,1169
1920_1929,natural_history_ecology_behavior,621
1920_1929,paleontology,213
1920_1929,physiology,21
1920_1929,taxonomy_systematics,121
1930_1939,comparative_anatomy_morphology,15
1930_1939,embryology_development,8
1930_1939,evolution_adaptation,15
1930_1939,general_or_unknown,730
1930_1939,natural_history_ecology_behavior,563
1930_1939,paleontology,222
1930_1939,physiology,6
1930_1939,taxonomy_systematics,489
1940_1949,comparative_anatomy_morphology,6
1940_1949,embryology_development,5
1940_1949,evolution_adaptation,4
1940_1949,general_or_unknown,653
1940_1949,natural_history_ecology_behavior,226
1940_1949,paleontology,139
1940_1949,physiology,4
1940_1949,taxonomy_systematics,273
1950_plus,comparative_anatomy_morphology,136
1950_plus,embryology_development,114
1950_plus,evolution_adaptation,65
1950_plus,general_or_unknown,5868
1950_plus,natural_history_ecology_behavior,5485
1950_plus,paleontology,1553
1950_plus,physiology,63
1950_plus,taxonomy_systematics,1793
pre_1700,comparative_anatomy_morphology,7
pre_1700,embryology_development,11
pre_1700,general_or_unknown,48
pre_1700,natural_history_ecology_behavior,32
pre_1700,paleontology,5
pre_1700,taxonomy_systematics,16
unknown,comparative_anatomy_morphology,6
unknown,evolution_adaptation,1
unknown,general_or_unknown,154
unknown,natural_history_ecology_behavior,16
unknown,paleontology,13
unknown,taxonomy_systematics,6
