source,identifier,title,creators,year,collections,item_text_url,work_key
IA,anaturalhistory01edwagoog,A Natural History of Uncommon Birds: And of Some Other Rare and Undescribed ...,George Edwards,1750,europeanlibraries;fav-gabriel_jaloto;fav-rwashington89,https://archive.org/download/anaturalhistory01edwagoog/anaturalhistory01edwagoog_djvu.txt,georgeedwards|natural history of uncommon birds and of some
IA,bim_eighteenth-century_telliamed-english-tel_maillet-benot-de_1750,"Telliamed. English]. Telliamed: or, discourses between an Indian philosopher, and a French missionary, on the diminution of the sea, the formation of the earth, the origin of men and animals, ... Being a translation from the French original of Mr. Maillet, ... 1750","Maillet, Benoît de.",1750,pub_eighteenth-century;bim_microfilm;microfilm;fav-david_herter;fav-jesus_daniel_martinez_barreto986;fav-keithfrankish;fav-solaranamnesis;fav-tjb654,https://archive.org/download/bim_eighteenth-century_telliamed-english-tel_maillet-benot-de_1750/bim_eighteenth-century_telliamed-english-tel_maillet-benot-de_1750_djvu.txt,maillet|telliamed english telliamed or discourses between an indian
IA,bim_eighteenth-century_the-natural-history-of-b_hughes-griffith_1750,"The natural history of Barbados. In ten books. By the Reverend Mr. Griffith Hughes, ... 1750","Hughes, Griffith.",1750,pub_eighteenth-century;bim_microfilm;microfilm;fav-cw4006;fav-mary_letson;fav-pariesosei_gmail_com,https://archive.org/download/bim_eighteenth-century_the-natural-history-of-b_hughes-griffith_1750/bim_eighteenth-century_the-natural-history-of-b_hughes-griffith_1750_djvu.txt,hughes|natural history of barbados in ten books by
IA,bim_eighteenth-century_a-natural-history-of-bir_edwards-george_1750_3,"A natural history of birds. Most of which have not been figur'd or describ'd, and others very little known ... Containing the figures of sixty birds and two quadrupedes, engrav'd on fifty-two copper plates, ... exactly colour'd. ... By George Edwards. 1750: Vol 3","Edwards, George.",1750,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_a-natural-history-of-bir_edwards-george_1750_3/bim_eighteenth-century_a-natural-history-of-bir_edwards-george_1750_3_djvu.txt,edwards|natural history of birds most of which have
IA,McGillLibrary-rbsc_blackerwood_natural-history-barbados-ten-books_folioQH109B35H831750-21818,The natural history of Barbados. In ten books,"Hughes, Griffith, active 1750",1750,mcgilluniversity;mcgilluniversityrarebooks;toronto;fav-boyhominid;fav-hrm1220;fav-joyousjam;fav-oleonard;fav-pariesosei_gmail_com;fav-pere432,https://archive.org/download/McGillLibrary-rbsc_blackerwood_natural-history-barbados-ten-books_folioQH109B35H831750-21818/McGillLibrary-rbsc_blackerwood_natural-history-barbados-ten-books_folioQH109B35H831750-21818_djvu.txt,hughes|natural history of barbados in ten books
IA,bim_eighteenth-century_telliamed-or-discourse_maillet-benot-de_1750,"Telliamed: or, discourses between an Indian philosopher and a French missionary, on the diminution of the sea, the formation of the earth, the origin of men and animals, ... Being a translation from the French original of Mr. Maillet, ... 1750","Maillet, Benoît de",1750,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_telliamed-or-discourse_maillet-benot-de_1750/bim_eighteenth-century_telliamed-or-discourse_maillet-benot-de_1750_djvu.txt,maillet|telliamed or discourses between an indian philosopher and
IA,11210850bsb,"A review of the works of the Royal Society of London: containing animadversions on such of the papers as deserve particular observation ; in eight parts: under the several heads of arts, antiquities, medicine, miracles, zoophytes, animals vegetables, minerals","Hill, John",1751,german-online-libraries;booksbylanguage_german;booksbylanguage,https://archive.org/download/11210850bsb/11210850bsb_djvu.txt,hill|review of the works of the royal society
IA,paper-doi-10_1098_rstl_1751_0013,"Experiments Made on a Great Number of Living Animals, with the Poison of Lamas, and of Ticunas, by Mons. Herissant, Doctor of Physic, and F. R. S. Translated from the French, by Tho. Stack, M. D.",Mons. Herissant; Tho. Stack,1751,paper_doi_mirrored_texts;journals,https://archive.org/download/paper-doi-10_1098_rstl_1751_0013/paper-doi-10_1098_rstl_1751_0013_djvu.txt,monsherissantthostack|experiments made on a great number of living
IA,bim_eighteenth-century_an-essay-on-the-vital-an_whytt-robert_1751,"An essay on the vital and other involuntary motions of animals. By Robert Whytt, M.D. ... 1751","Whytt, Robert.",1751,pub_eighteenth-century;bim_microfilm;microfilm,https://archive.org/download/bim_eighteenth-century_an-essay-on-the-vital-an_whytt-robert_1751/bim_eighteenth-century_an-essay-on-the-vital-an_whytt-robert_1751_djvu.txt,whytt|essay on the vital and other involuntary motions
IA,LecturesInNaturalPhilosophyDesignedToBeAFoundationForReasoning,"Lectures in natural philosophy : designed to be a foundation, for reasoning pertinently, upon the petrifications, gems, crystals, and sanative quality of Lough Neagh in Ireland, and intended to be an introduction, to the natural history of several counties contiguous to the lake, particularly the County of Ardmagh","Barton, Richard, b. 1722",1751,gialibrary;patron-library-collection;fav-bouncetiger;fav-lisandra3,https://archive.org/download/LecturesInNaturalPhilosophyDesignedToBeAFoundationForReasoning/LecturesInNaturalPhilosophyDesignedToBeAFoundationForReasoning_djvu.txt,barton|lectures in natural philosophy designed to be a
