period_bin,subfield,bucket,n_explanatory,n_divine_teleology,n_non_divine_teleology,n_internal_essence
1750_1799,(IA supplement),part,10304,325,8371,1608
1750_1799,(IA supplement),whole,4751,311,3840,600
1750_1799,comparative_anatomy_morphology,part,227,0,197,30
1750_1799,comparative_anatomy_morphology,whole,69,1,56,12
1750_1799,evolution_adaptation,part,28,0,22,6
1750_1799,evolution_adaptation,whole,16,0,10,6
1750_1799,general_or_unknown,part,472,8,352,112
1750_1799,general_or_unknown,whole,181,9,165,7
1750_1799,natural_history_ecology_behavior,part,1348,61,1065,222
1750_1799,natural_history_ecology_behavior,whole,629,36,532,61
1750_1799,physiology,part,46,0,32,14
1750_1799,physiology,whole,63,3,45,15
1750_1799,taxonomy_systematics,part,1071,42,775,254
1750_1799,taxonomy_systematics,whole,332,19,280,33
1800_1829,comparative_anatomy_morphology,part,4317,19,2808,1490
1800_1829,comparative_anatomy_morphology,whole,869,12,483,374
1800_1829,evolution_adaptation,part,95,0,90,5
1800_1829,evolution_adaptation,whole,81,1,80,0
1800_1829,general_or_unknown,part,2221,26,1077,1118
1800_1829,general_or_unknown,whole,946,35,608,303
1800_1829,natural_history_ecology_behavior,part,3304,102,2491,711
1800_1829,natural_history_ecology_behavior,whole,1687,79,1366,242
1800_1829,paleontology,part,1092,38,568,486
1800_1829,paleontology,whole,536,43,382,111
1800_1829,physiology,part,356,9,253,94
1800_1829,physiology,whole,192,3,128,61
1800_1829,taxonomy_systematics,part,3944,54,1667,2223
1800_1829,taxonomy_systematics,whole,778,21,524,233
1830_1849,comparative_anatomy_morphology,part,7280,68,3684,3528
1830_1849,comparative_anatomy_morphology,whole,1560,19,765,776
1830_1849,embryology_development,part,203,2,68,133
1830_1849,embryology_development,whole,172,2,39,131
1830_1849,general_or_unknown,part,3310,46,1749,1515
1830_1849,general_or_unknown,whole,1137,29,861,247
1830_1849,natural_history_ecology_behavior,part,3276,99,2062,1115
1830_1849,natural_history_ecology_behavior,whole,1457,85,1045,327
1830_1849,paleontology,part,1789,14,569,1206
1830_1849,paleontology,whole,376,8,185,183
1830_1849,physiology,part,479,7,263,209
1830_1849,physiology,whole,273,5,172,96
1830_1849,taxonomy_systematics,part,5862,44,2423,3395
1830_1849,taxonomy_systematics,whole,1350,45,711,594
1850_1869,comparative_anatomy_morphology,part,2921,19,1698,1204
1850_1869,comparative_anatomy_morphology,whole,827,13,424,390
1850_1869,embryology_development,part,463,0,185,278
1850_1869,embryology_development,whole,482,1,136,345
1850_1869,evolution_adaptation,part,253,2,185,66
1850_1869,evolution_adaptation,whole,235,2,169,64
1850_1869,general_or_unknown,part,3850,71,2683,1096
1850_1869,general_or_unknown,whole,1736,36,1353,347
1850_1869,natural_history_ecology_behavior,part,5310,112,3651,1547
1850_1869,natural_history_ecology_behavior,whole,2515,75,1893,547
1850_1869,paleontology,part,1405,2,386,1017
1850_1869,paleontology,whole,455,0,65,390
1850_1869,physiology,part,1036,9,619,408
1850_1869,physiology,whole,460,17,273,170
1850_1869,taxonomy_systematics,part,3159,26,1416,1717
1850_1869,taxonomy_systematics,whole,1628,47,616,965
1870_1889,comparative_anatomy_morphology,part,5910,19,2772,3119
1870_1889,comparative_anatomy_morphology,whole,1751,6,824,921
1870_1889,embryology_development,part,1724,2,622,1100
1870_1889,embryology_development,whole,1064,4,328,732
1870_1889,evolution_adaptation,part,2213,10,1476,727
1870_1889,evolution_adaptation,whole,1638,31,1071,536
1870_1889,general_or_unknown,part,11769,56,6566,5147
1870_1889,general_or_unknown,whole,4780,39,3182,1559
1870_1889,natural_history_ecology_behavior,part,7063,56,5151,1856
1870_1889,natural_history_ecology_behavior,whole,2995,50,2522,423
1870_1889,paleontology,part,1793,0,519,1274
1870_1889,paleontology,whole,852,2,385,465
1870_1889,physiology,part,401,5,210,186
1870_1889,physiology,whole,94,3,46,45
1870_1889,taxonomy_systematics,part,4747,12,1774,2961
1870_1889,taxonomy_systematics,whole,1474,1,752,721
