subfield,period_bin,works,n_explanatory,n_divine_teleology,n_non_divine_teleology,n_internal_essence
general_or_unknown,1750_1799,4,596,14,472,110
general_or_unknown,1800_1829,22,2755,58,1599,1098
general_or_unknown,1830_1849,27,4774,78,2652,2044
general_or_unknown,1850_1869,34,5444,107,3942,1395
general_or_unknown,1870_1889,77,16020,89,9344,6587
general_or_unknown,1890_1909,130,30467,69,19166,11232
general_or_unknown,1910_1929,110,21658,20,15228,6410
natural_history_ecology_behavior,1750_1799,15,1930,97,1554,279
natural_history_ecology_behavior,1800_1829,22,4796,177,3717,902
natural_history_ecology_behavior,1830_1849,32,4685,176,3066,1443
natural_history_ecology_behavior,1850_1869,33,7568,176,5360,2032
natural_history_ecology_behavior,1870_1889,47,10098,102,7464,2532
natural_history_ecology_behavior,1890_1909,79,13305,140,9881,3284
natural_history_ecology_behavior,1910_1929,41,6785,23,5347,1415
comparative_anatomy_morphology,1750_1799,3,296,1,253,42
comparative_anatomy_morphology,1800_1829,15,5133,31,3253,1849
comparative_anatomy_morphology,1830_1849,16,8778,86,4413,4279
comparative_anatomy_morphology,1850_1869,12,3715,32,2103,1580
comparative_anatomy_morphology,1870_1889,34,7663,25,3596,4042
comparative_anatomy_morphology,1890_1909,25,7830,7,3808,4015
comparative_anatomy_morphology,1910_1929,16,2910,0,1456,1454
taxonomy_systematics,1750_1799,6,1347,59,1026,262
taxonomy_systematics,1800_1829,30,4666,75,2159,2432
taxonomy_systematics,1830_1849,32,7188,89,3125,3974
taxonomy_systematics,1850_1869,20,4981,81,2200,2700
taxonomy_systematics,1870_1889,31,5212,5,2283,2924
taxonomy_systematics,1890_1909,27,5406,7,3104,2295
taxonomy_systematics,1910_1929,11,2915,2,1219,1694
evolution_adaptation,1750_1799,1,44,0,32,12
evolution_adaptation,1800_1829,1,176,1,170,5
evolution_adaptation,1850_1869,4,461,4,348,109
evolution_adaptation,1870_1889,19,3808,32,2532,1244
evolution_adaptation,1890_1909,47,7902,77,5459,2366
evolution_adaptation,1910_1929,28,3626,52,1961,1613
(IA supplement 1750-99),1750_1799,130,13494,541,10980,1973
paleontology,1800_1829,7,1607,81,935,591
paleontology,1830_1849,8,1753,17,682,1054
paleontology,1850_1869,12,1877,1,447,1429
paleontology,1870_1889,23,2610,2,841,1767
paleontology,1890_1909,29,2974,6,1099,1869
paleontology,1910_1929,15,1822,1,796,1025
embryology_development,1830_1849,2,320,2,102,216
embryology_development,1850_1869,4,928,0,318,610
embryology_development,1870_1889,11,2744,5,938,1801
embryology_development,1890_1909,29,4045,1,1726,2318
embryology_development,1910_1929,10,2155,4,910,1241
physiology,1750_1799,2,109,3,77,29
physiology,1800_1829,3,548,12,381,155
physiology,1830_1849,7,713,12,419,282
physiology,1850_1869,5,1474,26,870,578
physiology,1870_1889,2,445,8,232,205
physiology,1890_1909,9,2478,7,1818,653
physiology,1910_1929,8,1690,10,889,791
