work_id,period_bin,year,title,sources,volumes,n_rows,n_junk,n_explanatory,n_divine_teleology,n_non_divine_teleology,n_internal_essence,below_min_explanatory
georgeedwards|natural history of uncommon birds and of some,1750_1799,1750,A Natural History of Uncommon Birds: And of Some Other Rare and Undescribed ...,IA,1,514,499,15,0,9,6,1
edwards|natural history of birds most of which have,1750_1799,1750,"A natural history of birds. Most of which have not been figur'd or describ'd, and others very little known ... Containing the figures of sixty birds and two quadrupedes, engrav'd on fifty-two copper p",IA,1,266,249,17,0,8,9,1
maillet|telliamed english telliamed or discourses between an indian,1750_1799,1750,"Telliamed. English]. Telliamed: or, discourses between an Indian philosopher, and a French missionary, on the diminution of the sea, the formation of the earth, the origin of men and animals, ... Bein",IA,1,299,281,18,1,13,4,1
maillet|telliamed or discourses between an indian philosopher and,1750_1799,1750,"Telliamed: or, discourses between an Indian philosopher and a French missionary, on the diminution of the sea, the formation of the earth, the origin of men and animals, ... Being a translation from t",IA,1,332,316,16,3,10,3,1
hughes|natural history of barbados in ten books by,1750_1799,1750,"The natural history of Barbados. In ten books. By the Reverend Mr. Griffith Hughes, ... 1750",IA,1,632,528,104,15,81,8,0
112297,1750_1799,1751,"Observations on the inhabitants, climate, soil, rivers, productions, animals, and other matters worthy of notice, made by Mr. John Bartram, in his travels from Pensilvania to Onondago, Oswego, and the",BHL,1,61,60,1,0,1,0,1
113745,1750_1799,1751,"Observations on the inhabitants, climate, soil, rivers, productions, animals, and other matters worthy of notice",BHL,1,68,67,1,0,1,0,1
hill|general natural history or new and accurate descriptions,1750_1799,1751,"A General Natural History: Or, New and Accurate Descriptions Of The Animals, Vegetables, and Minerals, Of the Different Parts of the World: With Their Virtues and Uses, as far as hitherto certainly kn",IA,1,1200,1108,92,0,13,79,0
hill|review of the works of the royal society,1750_1799,1751,"A review of the works of the Royal Society of London: containing animadversions on such of the papers as deserve particular observation ; in eight parts: under the several heads of arts, antiquities, ",IA,1,435,385,50,2,32,16,0
whytt|essay on the vital and other involuntary motions,1750_1799,1751,"An essay on the vital and other involuntary motions of animals. By Robert Whytt, M.D. ... 1751",IA,1,274,234,40,2,28,10,0
monsherissantthostack|experiments made on a great number of living,1750_1799,1751,"Experiments Made on a Great Number of Living Animals, with the Poison of Lamas, and of Ticunas, by Mons. Herissant, Doctor of Physic, and F. R. S. Translated from the French, by Tho. Stack, M. D.",IA,1,41,41,0,0,0,0,1
149604,1750_1799,1752,"An history of animals : containing descriptions of the birds, beasts, fishes, and insects, of the several parts of the world, and including accounts of the several classes of animalcules, visible only",BHL,1,1200,1046,154,0,85,69,0
dodd|essay towards a natural history of the herring,1750_1799,1752,"An essay towards a natural history of the herring. By James Solas Dodd, ... 1752",IA,1,178,169,9,3,6,0,1
parsons|philosophical observations on the analogy between the propagation,1750_1799,1752,"Philosophical observations on the analogy between the propagation of animals and that of vegetables: in which are answered some objections against the indivisibility of the soul, ... With an explanati",IA,1,283,218,65,31,27,7,0
|art of making sugar under the heads of,1750_1799,1752,"The Art of making sugar: under the heads of I. The natural history of the sugar-cane. II. The culture of the sugar-cane. ... With an appendix containing The art of fermenting and distilling melasses, ",IA,1,30,30,0,0,0,0,1
boreman|description of three hundred animals viz beasts birds,1750_1799,1753,"A description of three hundred animals, viz. beasts, birds, fishes, serpents, and insects. With a particular account of the manner of their catching of whales in Greenland. Extracted from the best aut",IA,1,573,495,78,0,70,8,0
10313,1750_1799,1754,"The natural history of Carolina, Florida, and the Bahama Islands: containing the figures of birds, beasts, fishes, serpents, insects, and plants: particularly the forest-trees, shrubs, and other plant",BHL,1,555,469,86,2,80,4,0
albin|natural history of singing birds and particularly that,1750_1799,1754,"A natural history of singing birds; and particularly, that species of them most commonly bred in Scotland. ... By a lover of birds. 1754",IA,1,214,178,36,4,29,3,0
societyofantiquariesoflondon|queries proposed to gentlemen in the several parts,1750_1799,1754,"Queries proposed to gentlemen in the several parts of Great Britain, in hope of obtaining, from their answers, a better knowledge of its antiquities and natural history. 1754",IA,1,9,9,0,0,0,0,1
|emulation of the insects or a minister chosen,1750_1799,1754,"The emulation of the insects: or, a minister chosen. A fable. ... 1754",IA,1,19,17,2,0,2,0,1
192847,1750_1799,1755,"An essay towards a natural history of the corallines, and other marine productions of the like kind : commonly found on the coasts of Great Britain and Ireland. To which is added the description of a ",BHL,1,209,169,40,0,27,13,0
220027,1750_1799,1755,"An essay towards a natural history of the corallines, and other marine productions of the like kind, commonly found on the coasts of Great Britain and Ireland",BHL,1,239,199,40,0,23,17,0
whytt|physiological essays containing i an inquiry into the,1750_1799,1755,"Physiological essays, containing, I. An inquiry into the causes which promote the circulation of the fluids in the very small vessels of animals ... 1755",IA,1,156,138,18,1,6,11,1
martin|general magazine of arts and sciences philosophical philological,1750_1799,1755,"The general magazine of arts and sciences, philosophical, philological, mathematical, and mechanical: under the following heads, viz. I. The young gentlemen's and ladies philosophy; ... II. The natura",IA,1,362,345,17,3,14,0,1
rbrocklesby|account of some experiments on the sensibility and,1750_1799,1755,"An Account of Some Experiments on the Sensibility and Irritability of the Several Parts of Animals; In a Letter from Richard Brocklesby, M. D. F. R. S. to the Reverend Thomas Birch, D. D. Secr. R. S.",IA,1,10,10,0,0,0,0,1
arussel|account of four undescribed fishes of aleppo in,1750_1799,1755,"An Account of Four Undescribed Fishes of Aleppo; In a Letter to Mr. Peter Collinson, F.R.S. by Alexander Russel, M.D.",IA,1,13,13,0,0,0,0,1
atrembleytbirch|account of a work published in italian by,1750_1799,1755,"An Account of a Work Published in Italian by Vitaliano Donati, M. D. Containing, An Essay towards a Natural History of the Adriatic Sea: By Mr. Abraham Trembley, F. R. S. Translated from the French, b",IA,1,8,8,0,0,0,0,1
|compendium of authentic and entertaining voyages digested in,1750_1799,1756,"A compendium of authentic and entertaining voyages, digested in a chronological series. The whole exhibiting a clear view of the customs, manners, religion, government, commerce, and natural history o",IA,1,188,180,8,0,8,0,1
mendesdacosta|natural history of fossils 1 1,1750_1799,1757,"A Natural History Of Fossils. 1,1",IA,1,597,589,8,0,0,8,1
emanuelmendesdacosta|natural history of fossils,1750_1799,1757,A Natural History of Fossils,IA,1,623,619,4,0,1,3,1
|compendium of the most approved modern travels containing,1750_1799,1757,"A compendium of the most approved modern travels. Containing a distinct account of the religion, government, commerce, manners, and natural history of several nations. ... 1757: Vol 2",IA,1,183,163,20,0,20,0,1
mendesdacosta|natural history of fossils by emanuel mendes da,1750_1799,1757,"A natural history of fossils. By Emanuel Mendes da Costa, ... Vol. I. Part I. 1757",IA,1,609,600,9,0,4,5,1
haller|second dissertation on the motion of the blood,1750_1799,1757,"A second dissertation on the motion of the blood, and effects on [sic] bleeding; being a collection of two hundred thirty-five anatomical experiments made on living animals, ... By ... Dr. Albert Hall",IA,1,355,351,4,0,2,2,1
hume|four dissertations i the natural history of religion,1750_1799,1757,"Four dissertations. I. The natural history of religion. II. Of the passions. III. Of tragedy. IV. Of the standard of taste. By David Hume, esq. 1757",IA,1,103,103,0,0,0,0,1
warburton|remarks on mr david hume s essay on,1750_1799,1757,Remarks on Mr. David Hume's Essay on the natural history of religion: addressed to the Rev. Dr. Warburton. 1757,IA,1,27,27,0,0,0,0,1
botanista|rural beauties or the natural history of the,1750_1799,1757,"Rural beauties; or, the natural history of the four following western counties, viz. Cornwall, Devonshire, Dorsetshire, and Somersetshire. With additional remarks. 1757",IA,1,192,178,14,2,11,1,1
|spectacle de la nature or nature display d,1750_1799,1757,"Spectacle de la nature: or, nature display'd. Being discourses on such particulars of natural history as were thought most proper to exciste the curiosity, and form the minds of youth. Illustrated wit",IA,1,399,351,48,5,43,0,0
pluche|spectacle de la nature or nature display d,1750_1799,1757,"[Spectacle de la nature. English]. Spectacle de la nature: or, nature display'd. Being discourses on such particulars of natural history ... Vol. III. The eighth edition, revised and corrected. 1757",IA,1,569,449,120,38,80,2,0
makenside|observations on the origin and use of the,1750_1799,1757,"Observations on the Origin and Use of the Lymphatic Vessels of Animals: Being an Extract from the Gulstonian Lectures, Read in the Theatre of the College of Physicians of London, in June 1755. By Mark",IA,1,7,6,1,0,1,0,1
153666,1750_1799,1758,"Gleanings of natural history : exhibiting figures of quadrupeds, birds, insects, plants &c., most of which have not, till now, been either figured or described : with descriptions of seventy different",BHL,4,2371,2227,144,20,105,19,0
120028,1750_1799,1758,"The natural history of Cornwall : The air, climate, waters, rivers, lakes, sea and tides; of the stones, semimetals, metals, tin, and the manner of mining; the constitution of the stannaries, iron, co",BHL,1,538,461,77,7,66,4,0
193491,1750_1799,1758,"The book of nature, or, The history of insects : reduced to distinct classes, confirmed by particular instances, displayed in the anatomical analysis of many species : and illustrated with copper-plat",BHL,1,1200,840,360,31,258,71,0
horrebov|natural history of iceland,1750_1799,1758,The natural history of Iceland,IA,1,263,220,43,7,36,0,0
stona|remarks upon the natural history of religion by,1750_1799,1758,"Remarks upon The natural history of religion by Mr. Hume. With dialogues on heathen idolatry, and the Christian religion. By S. T. 1758",IA,1,72,72,0,0,0,0,1
horrebov|natural history of iceland translated from the danish,1750_1799,1758,[Tillforladelige Efterretninger om Island]. The natural history of Iceland: ... Translated from the Danish original of Mr. N. Horrebow. And illustrated with a new general map of the island. 1758,IA,1,357,308,49,3,45,1,0
|voyage to southamerica describing at large the spanish,1750_1799,1758,"A voyage to SouthAmerica describing at large The spanish cities towns, provinces &c. on that extensive continent, interspersed throughout with reflections on the genius, customs, manners and trade of ",IA,1,330,290,40,0,40,0,0
venegas|natural and civil history of california containing an,1750_1799,1759,"A Natural and Civil History of California: Containing An accurate Description of that Country, Its Soil, Mountains, Harbours, Lakes, Rivers and Seas, its Animals, Vegetables, Minerals and famous Fishe",IA,1,110,106,4,0,4,0,1
eleazaralbin|natural history of english song birds and such,1750_1799,1759,A Natural History of English Song-birds: And Such of the Foreign as are Usually Brought Over and ...,IA,1,138,110,28,0,27,1,1
martin|natural history of england or a description of,1750_1799,1759,"The natural history of England; or, a description of each particular county, ... Illustrated by a map of each county, ... By Benjamin Martin. 1759: Vol 1",IA,1,459,436,23,0,22,1,1
|bird fancier s necessary companion and sure guide,1750_1799,1760,"The bird-fancier's necessary companion and sure guide; being an easy way of breeding canary birds, and the best method of chusing and keeping them, both for breeding and song. Adorned with cuts. 1760",IA,1,176,149,27,0,26,1,1
|woody quiristers or the birds harmony in two,1750_1799,1760,"The woody quiristers; or, the birds harmony. In two parts. ... Tune, The bird-catcher's delight. Enter'd according to order. 1760",IA,1,15,15,0,0,0,0,1
jellis|account of the male and female cochineal insects,1750_1799,1761,"An Account of the Male and Female Cochineal Insects, That Breed on the Cactus Opuntia, or Indian Fig, in South Carolina and Georgia: In a Letter from John Ellis, Esq; to Peter Wych, Esq;",IA,1,9,9,0,0,0,0,1
buffon|natural history of the horse to which is,1750_1799,1762,"The natural history of the horse. To which is added that of the ass, bull, cow, ox, sheep, goat, and swine. ... Translated from the French of the celebrated M. de Buffon. 1762",IA,1,571,425,146,7,113,26,0
brookes|new accurate system of natural history 1763 vol,1750_1799,1763,A New Accurate System of Natural History 1763: Vol 4,IA,1,942,776,166,1,147,18,0
brookes|new and accurate system of natural history 1763,1750_1799,1763,A New and Accurate System of Natural History 1763: Vol 2,IA,1,1063,1001,62,0,59,3,0
roberts|account of the first discovery and natural history,1750_1799,1763,"An account of the first discovery, and natural history of Florida. With a particular detail of the several expeditions and descents made on that coast. Collected from the best authorities by William R",IA,1,147,144,3,0,3,0,1
|curious and authentic memoirs concerning a late peace,1750_1799,1763,"Curious and authentic memoirs concerning a late peace, concluded between the rooks and jackdaws. Extracted from the general history of the annual assembly of birds, and other undoubted authorities. 17",IA,1,87,84,3,0,3,0,1
|england illustrated or a compendium of the natural,1750_1799,1764,"England illustrated, or, a compendium of the natural history, geography, topography, and antiquities ecclesiastical and civil, of England and Wales. With maps of the several counties, and engravings .",IA,1,398,389,9,0,9,0,1
georgeedwards|gleanings of natural history exhibiting figures of quadrupeds,1750_1799,1764,"Gleanings of Natural History: Exhibiting Figures of Quadrupeds, Birds, Insects, Plants, Etc ...",IA,1,631,615,16,0,13,3,1
fenning|new system of geography or a general description,1750_1799,1765,"A new system of geography, or a general description of the world: containing a particular and circumstantial account of all the countries, kingdoms and states of Europe, Asia, Africa and America, thei",IA,1,1200,1075,125,7,114,4,0
thorley|enquiry into the nature order and government of,1750_1799,1765,"[Melisselogia]. An enquiry into the nature, order, and government of bees, those instructive and useful insects. ... by the Reverend Mr. John Thorley, of Oxon. - The second - edition. Illustrated with",IA,1,228,191,37,7,30,0,0
|vermin killer being a compleat and necessary family,1750_1799,1765,"The vermin-killer: being a compleat and necessary family-book. Shewing a ready way to destroy adders, badgers, birds, of all sorts, earwigs ... 1765",IA,1,170,162,8,0,8,0,1
155808,1750_1799,1766,"The British zoology. instituted for the promoting useful charities, and the knowledge of nature, among the descendants of the ancient Britons.... Class I, Quadrupeds",BHL,1,959,827,132,5,111,16,0
goldsmith|compendium of authentic and entertaining voyages digested in,1750_1799,1766,"A compendium of authentic and entertaining voyages, digested in a chronological series. The whole exhibiting a clear view of the customs, manners, religion, government, commerce, and natural history o",IA,1,195,190,5,0,5,0,1
charlevoix|voyage to north america undertaken by command of,1750_1799,1766,A voyage to North-America: undertaken by command of the present King of France. Containing the geographical description and natural history of Canada and Louisiana. ... By Father Charlevoix. ... In tw,IA,1,388,348,40,4,35,1,0
mills|essay on the management of bees wherein is,1750_1799,1766,An essay on the management of bees. Wherein is shewn the method of rearing those useful insects; and that the practice of saving their lives when their honey and wax are taken from them was known to t,IA,1,342,296,46,2,44,0,0
harris|aurelian or natural history of english insects namely,1750_1799,1766,"The Aurelian: or, natural history of English insects; namely, moths and butterflies. 1766",IA,1,368,315,53,7,46,0,0
demarvilleyoungladysintroductiontonaturalhistory|young lady s introduction to natural history 1766,1750_1799,1766,The Young Lady's introduction [sic] to natural history 1766,IA,1,275,227,48,6,39,3,0
drparsons|observations upon animals commonly called amphibious by authors,1750_1799,1766,"Observations upon Animals, Commonly Called Amphibious by Authors. Presented by Dr. Parsons, F. R. S.",IA,1,15,5,10,3,7,0,1
|account of some peculiar advantages in the structure,1750_1799,1766,"An Account of Some Peculiar Advantages in the Structure of the Asperae Arteriae, or Wind Pipes, of Several Birds, and in the Land-Tortoise",IA,1,24,20,4,0,4,0,1
yonge|husbandman s companion and gentleman s amusement containing,1750_1799,1767,"The husbandman's companion; and gentleman's amusement. Containing a cheap, easy and effectual method of curing the several disorders incident to horses, ... singing-birds, &c. With their nature and pr",IA,1,115,96,19,0,19,0,1
tharmersclark|remarks on the very different accounts that have,1750_1799,1767,"Remarks on the Very Different Accounts That Have Been Given of the Fecundity of Fishes, with Fresh Observations on That Subject: By Mr. Thomas Harmer; Communicated by Samuel Clark, Esq; F. R. S.",IA,1,26,26,0,0,0,0,1
195273,1750_1799,1768,"The universal directory for taking alive and destroying rats, and all other kinds of four-footed and winged vermin",BHL,1,113,85,28,0,28,0,1
pennant|british zoology 1,1750_1799,1768,British zoology. 1,IA,1,631,525,106,7,95,4,0
pennant|british zoology 2,1750_1799,1768,British zoology. 2,IA,1,602,537,65,0,59,6,0
pennant|british zoology 3,1750_1799,1768,British zoology. 3,IA,1,678,608,70,4,33,33,0
|wonders of nature and art being an account,1750_1799,1768,"The wonders of nature and art: being an account of whatever is most curious and remarkable throughout the world; wether relating to its animals ... or, to the buildings ... and discoveries of its inha",IA,1,420,367,53,4,47,2,0
pennant|british zoology 1768 vol 1,1750_1799,1768,British zoology... 1768: Vol 1,IA,1,455,393,62,4,56,2,0
pennant|british zoology 1768 vol 2,1750_1799,1768,British zoology... 1768: Vol 2,IA,1,578,520,58,0,50,8,0
tpennant|account of the different species of the birds,1750_1799,1768,"Account of the Different Species of the Birds, Called Pinguins, by Thomas Pennant, Esquire, F. R. S.",IA,1,26,21,5,0,4,1,1
whewsonwhunter|account of the lymphatic system in birds by,1750_1799,1768,"An Account of the Lymphatic System in Birds; By Mr. William Hewson, Reader in Anatomy: In a Letter to William Hunter, M. D. F. R. S. and by Him Communicated to the Society",IA,1,15,14,1,0,1,0,1
153157,1750_1799,1769,Indian zoology,BHL,1,53,47,6,2,4,0,1
bancroft|essay on the natural history of guiana in,1750_1799,1769,An Essay on the natural history of Guiana ... in South America ...,IA,1,266,230,36,4,30,2,0
wallis|natural history and antiquities of northhumberland and of,1750_1799,1769,"The Natural History And Antiquities Of Northhumberland: And of so much of the County of Durham A lies between the Rivers Tyne and Tweed; Commonly Called, North Bishoprick. In Two Volumes. 1",IA,1,639,597,42,2,34,6,0
bondt|account of the diseases natural history and medicines,1750_1799,1769,"An account of the diseases, natural history and medicines of the East Indies",IA,1,123,116,7,0,7,0,1
thomasboreman|description of three hundred animals viz beasts birds,1750_1799,1769,"A Description of Three Hundred Animals,: Viz. Beasts, Birds, Fishes ...",IA,1,281,238,43,1,36,6,0
lewis|experimental history of the materia medica or of,1750_1799,1769,"An experimental history of the materia medica, or of the natural and artificial substances made use of in medicine: containing a compendious view of their natural history, ... 1769: Vol 2",IA,1,301,295,6,0,5,1,1
pennant|british zoology 1769 vol 3,1750_1799,1769,British zoology... 1769: Vol 3,IA,1,817,750,67,2,46,19,0
bontius|account of the diseases natural history and medicines,1750_1799,1769,"[Historiae naturalis et medicae Indiae orientalis libri sex. English]. An account of the diseases, natural history, and medicines of the East Indies. 1769",IA,1,121,119,2,0,2,0,1
berkenhout|outlines of the natural history of great britain,1750_1799,1769,Outlines of the natural history of Great Britain and Ireland. 1769: Vol 1,IA,1,1152,1141,11,1,3,7,1
whewsonwhunter|account of the lymphatic system in amphibious animals,1750_1799,1769,"An Account of the Lymphatic System in Amphibious Animals. By Mr. William Hewson, Lecturer in Anatomy: In a Letter to William Hunter, M. D. F. R. S. and by Him Communicated to the Society",IA,1,10,9,1,0,1,0,1
65766,1750_1799,1770,"Illustrations of natural history. Wherein are exhibited upwards of two hundred and forty figures of exotic insects, according to their differt genera ... With a particular description of each insect: ",BHL,4,1730,1593,137,11,86,40,0
edwards|essays upon natural history,1750_1799,1770,Essays upon natural history ...,IA,1,199,170,29,10,17,2,1
pennant|british zoology 1770 vol 4,1750_1799,1770,British zoology... 1770: Vol 4,IA,1,138,135,3,0,3,0,1
fordyce|elements of the practice of physic part 11,1750_1799,1770,"[Elements of the practice of physic. Part 11. Elements of the practice of physic. Part the first. Containing the natural history of the human body. By George Fordyce, ... 1770",IA,1,34,30,4,0,4,0,1
caverhill|experiments on the cause of heat in living,1750_1799,1770,"Experiments on the cause of heat in living animals, and velocity of the nervous fluid. By John Caverhill, ... 1770",IA,1,51,51,0,0,0,0,1
georgeedwards|essays upon natural history and other miscellaneous subjects,1750_1799,1770,"Essays Upon Natural History, and Other Miscellaneous Subjects,",IA,1,200,166,34,12,22,0,0
thodavies|letter from captain davies to john ellis esquire,1750_1799,1770,"A Letter from Captain Davies to John Ellis, Esquire, F. R. S. on a Method of Preparing Birds for Preservation",IA,1,4,4,0,0,0,0,1
dcirillo|letter to dr william watson f r s,1750_1799,1770,"A Letter to Dr. William Watson, F. R. S. Giving Some Account of the Manna Tree, and of the Tarantula: By Dominico Cirillo, M. D. Professor of Natural History at the University of Naples",IA,1,6,6,0,0,0,0,1
tskuckhan|four letters from mr t s kuckhan to,1750_1799,1770,"Four Letters from Mr. T. S. Kuckhan, to the President and Members of the Royal Society, on the Preservation of Dead Birds",IA,1,29,23,6,0,6,0,1
58835,1750_1799,1771,"The natural history of Carolina, Florida, and the Bahama Islands : containing the figures of birds, beasts, fishes, serpents, insects, and plants : particularly, those not hitherto described, or incor",BHL,2,1709,1485,224,12,208,4,0
149997,1750_1799,1771,"Micrographia illustrata: or, The microscope explained ... Likewise, a natural history of aerial, terrestrial, and aquatic animals, &c., considered as microscopic objects",BHL,1,534,429,105,5,88,12,0
brookes|new and accurate system of natural history 1771,1750_1799,1771,A new and accurate system of natural history. 1771: Vol 2,IA,1,1200,1043,157,0,133,24,0
|new lottery book of birds and beasts for,1750_1799,1771,"A new lottery book of birds and beasts, for children to learn their letters by as soon as they can speak. 1771",IA,1,5,5,0,0,0,0,1
hewson|experimental inquiry into the properties of the blood,1750_1799,1771,"An experimental inquiry into the properties of the blood. With remarks on some of its morbid apperances: and an appendix, relating to the discovery of the lymphatic system in birds, fish, and the anim",IA,1,98,96,2,0,1,1,1
fordyce|elements of the practice of physic in two,1750_1799,1771,"Elements of the practice of physic, in two parts. Part I. containing, The natural history of the human body. Part II. the history and methods of treating fevers, ... 1771",IA,1,72,66,6,0,3,3,1
adams|micrographia illustrata or the microscope explained in several,1750_1799,1771,"Micrographia illustrata: or, the microscope explained, in several new inventions, ... Likewise a natural history ... By George Adams, ... 1771",IA,1,522,410,112,4,87,21,0
pennant|synopsis of quadrupeds 1771,1750_1799,1771,Synopsis of quadrupeds 1771,IA,1,937,849,88,1,77,10,0
hunter|natural history of the human teeth explaining their,1750_1799,1771,"The natural history of the human teeth: explaining their structure, use, formation, growth, and diseases. Illustrated with copper-plates. By John Hunter, ... 1771",IA,1,102,72,30,0,26,4,0
jones|zoologia ethica a disquisition concerning the mosaic distinction,1750_1799,1771,"Zoologia ethica A disquisition concerning the Mosaic distinction of animals into clean and unclean. ... By William Jones, ... 1771",IA,1,155,143,12,6,5,1,1
mrmullerrhabennet|observations on some bivalve insects found in common,1750_1799,1771,"Observations on Some Bivalve Insects, Found in Common Water, by Mr. Muller, of the New Academy of Sciences in Bavaria, and the Oeconomical Society at Bern; Communicated by R. H. A. Bennet, Esq; F. R. ",IA,1,43,28,15,0,10,5,1
pehrkalm|travels into north america containing its natural history,1750_1799,1771,Travels Into North America: Containing Its Natural History ... with the ...,IA,1,337,314,23,0,21,2,1
lettsom|natural history of the tea tree,1750_1799,1772,The natural history of the tea-tree,IA,1,42,42,0,0,0,0,1
johnrutty|essay towards a natural history of the county,1750_1799,1772,"An essay towards a natural history of the county of Dublin, accommodated to ...",IA,1,150,146,4,0,4,0,1
brookes|new accurate system of natural history 1772 vol,1750_1799,1772,A New Accurate System of Natural History 1772: Vol 5,IA,1,370,363,7,1,0,6,1
brookes|new and accurate system of natural history 1772,1750_1799,1772,A new and accurate system of natural history. 1772: Vol 6,IA,1,362,357,5,0,3,2,1
bladh|fundamenta entomologiae or an introduction to the knowledge,1750_1799,1772,"Fundamenta entomologiae: or, an introduction to the knowledge of insects. Being a translation of the fundamenta entomologiae of Linnaeus, farther illustrated with copper plates and additions by W. Cur",IA,1,104,79,25,1,13,11,1
lettsom|natural history of the tea tree with observations,1750_1799,1772,"The natural history of the tea-tree, with observations on the medical qualities of tea, and effects of tea-drinking. By John Coakley Lettsom, ... 1772",IA,1,40,40,0,0,0,0,1
lettsom|naturalist s and traveller s companion containing instructions,1750_1799,1772,"The naturalist's and traveller's companion. Containing instructions for discovering and preserving objects of natural history, under the following heads: ... 1772",IA,1,69,69,0,0,0,0,1
dbarrington|essay on the periodical appearing and disappearing of,1750_1799,1772,"An Essay on the Periodical Appearing and Disappearing of Certain Birds, at Different Times of the Year. In a Letter from the Honourable Daines Barrington, Vice-Pres. R. S. to William Watson, M. D. F. ",IA,1,128,119,9,0,9,0,1
cgullet|letter from mr christopher gullet to matthew maty,1750_1799,1772,"A Letter from Mr. Christopher Gullet to Matthew Maty, M. D. Sec. R. S. on the Effects of Elder, in Preserving Growing Plants from Insects and Flies",IA,1,5,5,0,0,0,0,1
jrforster|account of the birds sent from hudson s,1750_1799,1772,"An Account of the Birds Sent from Hudson's Bay; With Observations Relative to Their Natural History; And Latin Descriptions of Some of the Most Uncommon. By J. R. Forster, F. R. S.",IA,1,127,120,7,0,7,0,1
pennant|genera of birds,1750_1799,1773,Genera of birds,IA,1,222,185,37,0,34,3,0
linn|institutions of entomology being a translation of linn,1750_1799,1773,"Institutions of entomology: being a translation of Linnæus's Ordines et genera insectorum; or, systematic arrangement of insects. Collated with the different systems of Geoffroy, Schæffer and Scopoli;",IA,1,287,177,110,1,59,50,0
neitherside|political squabble or a scramble for the loaves,1750_1799,1773,"The political squabble; or, a scramble for the loaves and fishes. A poetical essay: (partly in hudibrastic verse,) adapted to the public characters of our statesmen in general, from the demise of his ",IA,1,16,16,0,0,0,0,1
thomaspennant|genera of birds,1750_1799,1773,Genera of Birds,IA,1,212,175,37,0,34,3,0
|general natural history or new and accurate descriptions,1750_1799,1773,"A General Natural History Or, New and Accurate Descriptions of the Animals, Vegetables, and Minerals of the Various Parts of the World; with the Virtues, and Uses, in Medecine and Mechanics ... by Joh",IA,1,1200,1143,57,0,16,41,0
drudrury|illustrations of natural history wherein are exhibited upwards,1750_1799,1773,Illustrations of Natural History.: Wherein are Exhibited Upwards of Two Hundred and Forty ...,IA,1,386,354,32,0,21,11,0
jrforster|account of some curious fishes sent from hudson,1750_1799,1773,"An Account of Some Curious Fishes, Sent from Hudson's Bay; By Mr. John Reinhold Forster, F. R. S. in a Letter to Thomas Pennant, Esq; F. R. S.",IA,1,18,18,0,0,0,0,1
dbarrington|experiments and observations on the singing of birds,1750_1799,1773,"Experiments and Observations on the Singing of Birds, by the Hon. Daines Barrington, Vice Pres. R. S. In a Letter to Mathew Maty, M. D. Sec. R. S.",IA,1,78,74,4,0,4,0,1
rush|oration delivered february 4 1774 before the american,1750_1799,1774,"An oration delivered February 4, 1774, before the American Philosophical Society, held at Philadelphia. Containing, an enquiry into the natural history of medicine among the indians in North-America. ",IA,1,49,44,5,0,5,0,1
jhunter|account of certain receptacles of air in birds,1750_1799,1774,"An Account of Certain Receptacles of Air, in Birds, Which Communicate with the Lungs, and are Lodged Both among the Fleshy Parts and in the Hollow Bones of Those Animals. By John Hunter, F. R. S.",IA,1,12,4,8,0,8,0,1
romans|concise natural history of east and west florida,1750_1799,1775,A concise natural history of East and West Florida; ... 1775,IA,1,317,299,18,1,17,0,1
