work_id,period_bin,subfield,n_rows,all_n,all_divine_teleology,all_non_divine_teleology,all_internal_essence,whole_n,whole_divine_teleology,whole_non_divine_teleology,whole_internal_essence,part_n,part_divine_teleology,part_non_divine_teleology,part_internal_essence
46330,1910_1929,paleontology,189,14,0,4,10,6,0,1,5,8,0,3,5
42673,1750_1799,general_or_unknown,2400,153,7,137,9,83,4,76,3,70,3,61,6
46365,1830_1849,taxonomy_systematics,124,10,0,2,8,3,0,0,3,7,0,2,5
46366,1850_1869,paleontology,170,9,0,1,8,4,0,0,4,5,0,1,4
10347,1870_1889,general_or_unknown,1200,264,0,71,193,16,0,11,5,248,0,60,188
46524,1910_1929,general_or_unknown,336,9,0,0,9,3,0,0,3,6,0,0,6
46527,1910_1929,paleontology,1200,28,0,3,25,27,0,2,25,1,0,1,0
46640,1870_1889,paleontology,1294,131,0,16,115,6,0,0,6,125,0,16,109
46668,1870_1889,general_or_unknown,329,29,0,25,4,20,0,17,3,9,0,8,1
46669,1890_1909,general_or_unknown,368,32,0,28,4,22,0,19,3,10,0,9,1
46674,1910_1929,natural_history_ecology_behavior,939,16,0,10,6,7,0,6,1,9,0,4,5
8133,1830_1849,general_or_unknown,5423,941,4,186,751,86,4,27,55,855,0,159,696
46713,1910_1929,natural_history_ecology_behavior,1433,206,0,199,7,78,0,78,0,128,0,121,7
46774,1850_1869,general_or_unknown,1015,0,0,0,0,0,0,0,0,0,0,0,0
46821,1800_1829,natural_history_ecology_behavior,134,39,0,23,16,4,0,2,2,35,0,21,14
46835,1870_1889,paleontology,58,8,0,1,7,2,0,1,1,6,0,0,6
46851,1890_1909,embryology_development,89,31,0,26,5,14,0,14,0,17,0,12,5
46855,1870_1889,natural_history_ecology_behavior,56,13,0,12,1,10,0,9,1,3,0,3,0
46944,1910_1929,taxonomy_systematics,957,59,2,48,9,34,1,29,4,25,1,19,5
46985,1870_1889,general_or_unknown,99,8,0,6,2,2,0,2,0,6,0,4,2
46986,1870_1889,general_or_unknown,639,100,0,74,26,37,0,31,6,63,0,43,20
47002,1890_1909,general_or_unknown,224,2,0,0,2,0,0,0,0,2,0,0,2
47043,1870_1889,general_or_unknown,517,31,0,2,29,4,0,1,3,27,0,1,26
1593,1800_1829,taxonomy_systematics,4773,361,2,243,116,48,1,46,1,313,1,197,115
48405,1830_1849,natural_history_ecology_behavior,1200,295,34,248,13,129,16,110,3,166,18,138,10
48632,1890_1909,natural_history_ecology_behavior,1200,17,0,12,5,5,0,4,1,12,0,8,4
48645,1910_1929,general_or_unknown,237,0,0,0,0,0,0,0,0,0,0,0,0
48665,1870_1889,comparative_anatomy_morphology,208,23,0,17,6,4,0,4,0,19,0,13,6
48970,1870_1889,natural_history_ecology_behavior,102,28,1,14,13,7,1,2,4,21,0,12,9
48975,1800_1829,comparative_anatomy_morphology,433,118,5,95,18,32,2,24,6,86,3,71,12
49008,1800_1829,taxonomy_systematics,1062,44,0,40,4,3,0,3,0,41,0,37,4
49026,1910_1929,natural_history_ecology_behavior,1200,236,0,164,72,44,0,35,9,192,0,129,63
49071,1890_1909,taxonomy_systematics,1200,72,0,12,60,17,0,2,15,55,0,10,45
49233,1870_1889,embryology_development,528,55,0,15,40,13,0,3,10,42,0,12,30
49320,1870_1889,natural_history_ecology_behavior,1200,274,0,75,199,34,0,11,23,240,0,64,176
49321,1870_1889,evolution_adaptation,183,13,0,6,7,5,0,3,2,8,0,3,5
49460,1870_1889,comparative_anatomy_morphology,1200,425,0,212,213,153,0,69,84,272,0,143,129
49461,1850_1869,natural_history_ecology_behavior,1501,65,0,58,7,17,0,17,0,48,0,41,7
48636,1800_1829,natural_history_ecology_behavior,1927,620,15,166,439,258,6,74,178,362,9,92,261
49464,1850_1869,evolution_adaptation,59,1,0,0,1,1,0,0,1,0,0,0,0
49480,1870_1889,natural_history_ecology_behavior,3600,779,1,597,181,167,0,157,10,612,1,440,171
49493,1830_1849,taxonomy_systematics,1146,185,7,84,94,80,5,37,38,105,2,47,56
49740,1870_1889,general_or_unknown,3930,178,5,62,111,28,2,20,6,150,3,42,105
49765,1750_1799,natural_history_ecology_behavior,301,19,0,18,1,7,0,7,0,12,0,11,1
49867,1800_1829,natural_history_ecology_behavior,397,52,2,44,6,23,1,21,1,29,1,23,5
49894,1750_1799,taxonomy_systematics,4443,138,0,125,13,35,0,35,0,103,0,90,13
50066,1850_1869,general_or_unknown,497,156,13,91,52,24,5,19,0,132,8,72,52
50139,1890_1909,general_or_unknown,1200,110,2,102,6,67,2,63,2,43,0,39,4
50141,1870_1889,natural_history_ecology_behavior,604,2,0,2,0,0,0,0,0,2,0,2,0
50434,1870_1889,taxonomy_systematics,2502,105,0,20,85,12,0,4,8,93,0,16,77
11812,1890_1909,general_or_unknown,1200,127,0,27,100,51,0,11,40,76,0,16,60
50464,1890_1909,comparative_anatomy_morphology,115,6,0,5,1,0,0,0,0,6,0,5,1
50589,1870_1889,natural_history_ecology_behavior,431,130,0,49,81,42,0,16,26,88,0,33,55
50671,1870_1889,natural_history_ecology_behavior,1200,102,0,83,19,23,0,19,4,79,0,64,15
50847,1800_1829,natural_history_ecology_behavior,105,22,0,21,1,4,0,4,0,18,0,17,1
50867,1870_1889,general_or_unknown,218,23,3,15,5,20,3,14,3,3,0,1,2
50872,1850_1869,evolution_adaptation,224,33,3,12,18,24,1,8,15,9,2,4,3
210565,1830_1849,comparative_anatomy_morphology,1200,524,1,299,224,98,1,70,27,426,0,229,197
62215,1800_1829,general_or_unknown,4323,350,12,260,78,94,9,79,6,256,3,181,72
51166,1830_1849,general_or_unknown,434,6,0,4,2,3,0,2,1,3,0,2,1
51200,1850_1869,natural_history_ecology_behavior,26,1,0,1,0,0,0,0,0,1,0,1,0
51357,1830_1849,natural_history_ecology_behavior,4800,90,2,79,9,42,1,39,2,48,1,40,7
51450,1800_1829,general_or_unknown,538,49,0,35,14,32,0,25,7,17,0,10,7
51562,1890_1909,taxonomy_systematics,1200,120,0,67,53,89,0,53,36,31,0,14,17
51631,1870_1889,natural_history_ecology_behavior,1200,11,0,1,10,5,0,1,4,6,0,0,6
61923,1910_1929,taxonomy_systematics,3600,172,0,73,99,53,0,30,23,119,0,43,76
51805,1830_1849,taxonomy_systematics,245,81,0,36,45,44,0,21,23,37,0,15,22
51821,1830_1849,general_or_unknown,997,133,0,75,58,21,0,16,5,112,0,59,53
12492,1830_1849,general_or_unknown,1329,118,0,41,77,19,0,15,4,99,0,26,73
51841,1870_1889,taxonomy_systematics,2175,192,0,102,90,43,0,32,11,149,0,70,79
51877,1870_1889,general_or_unknown,1200,174,0,118,56,53,0,43,10,121,0,75,46
11793,1870_1889,taxonomy_systematics,646,7,0,6,1,6,0,5,1,1,0,1,0
16333,1890_1909,general_or_unknown,1298,84,0,11,73,39,0,7,32,45,0,4,41
57744,1890_1909,taxonomy_systematics,1536,167,0,79,88,36,0,24,12,131,0,55,76
52024,1890_1909,general_or_unknown,1200,49,0,38,11,12,0,12,0,37,0,26,11
52028,1910_1929,natural_history_ecology_behavior,932,67,0,67,0,29,0,29,0,38,0,38,0
52039,1890_1909,general_or_unknown,408,23,0,13,10,8,0,8,0,15,0,5,10
52110,1850_1869,paleontology,1200,162,0,14,148,112,0,0,112,50,0,14,36
52120,1890_1909,paleontology,2400,189,0,36,153,29,0,7,22,160,0,29,131
52150,1850_1869,taxonomy_systematics,624,146,0,3,143,59,0,0,59,87,0,3,84
52151,1870_1889,paleontology,32,0,0,0,0,0,0,0,0,0,0,0,0
52327,1890_1909,natural_history_ecology_behavior,374,120,0,69,51,24,0,8,16,96,0,61,35
52350,1890_1909,paleontology,342,10,0,1,9,7,0,0,7,3,0,1,2
52382,1890_1909,paleontology,1200,31,0,2,29,11,0,0,11,20,0,2,18
52386,1870_1889,paleontology,301,16,0,1,15,15,0,0,15,1,0,1,0
9077,1870_1889,paleontology,548,28,0,4,24,23,0,3,20,5,0,1,4
52397,1890_1909,embryology_development,294,14,0,8,6,11,0,6,5,3,0,2,1
52398,1910_1929,general_or_unknown,1200,11,0,9,2,8,0,8,0,3,0,1,2
52401,1870_1889,paleontology,39,0,0,0,0,0,0,0,0,0,0,0,0
52405,1890_1909,paleontology,950,40,0,0,40,12,0,0,12,28,0,0,28
53118,1850_1869,taxonomy_systematics,3600,295,1,168,126,51,1,41,9,244,0,127,117
53461,1830_1849,taxonomy_systematics,447,14,0,7,7,4,0,3,1,10,0,4,6
15752,1890_1909,general_or_unknown,2400,449,4,344,101,143,2,119,22,306,2,225,79
53548,1850_1869,taxonomy_systematics,526,27,0,0,27,9,0,0,9,18,0,0,18
53571,1870_1889,natural_history_ecology_behavior,66,12,0,7,5,3,0,2,1,9,0,5,4
53623,1870_1889,general_or_unknown,1200,188,0,75,113,31,0,14,17,157,0,61,96
16033,1890_1909,natural_history_ecology_behavior,1687,149,0,16,133,27,0,3,24,122,0,13,109
53716,1910_1929,natural_history_ecology_behavior,700,16,0,5,11,2,0,0,2,14,0,5,9
53733,1850_1869,paleontology,793,99,0,53,46,16,0,8,8,83,0,45,38
