uid,work_id,source,year,period_bin,animal_chunks,n_sentences,n_sentences_before_cap
bhl_100200,46330,BHL,1911,1910_1929,92,189,189
bhl_100204,42673,BHL,1785,1750_1799,492,1200,2033
bhl_100300,46365,BHL,1849,1830_1849,50,124,124
bhl_100301,46366,BHL,1856,1850_1869,81,170,170
bhl_100489,10347,BHL,1882,1870_1889,1266,1200,5738
bhl_100543,46524,BHL,1918,1910_1929,118,336,336
bhl_100549,46527,BHL,1919,1910_1929,462,1200,1251
bhl_100925,46640,BHL,1878,1870_1889,680,1200,1811
bhl_100974,46668,BHL,1873,1870_1889,130,329,329
bhl_100975,46669,BHL,1906,1890_1909,143,368,368
bhl_100984,46674,BHL,1918,1910_1929,263,939,939
bhl_100985,8133,BHL,1832,1830_1849,301,527,527
bhl_101041,46713,BHL,1914,1910_1929,74,290,290
bhl_101115,46774,BHL,1864,1850_1869,108,205,205
bhl_101116,46774,BHL,1863,1850_1869,319,810,810
bhl_101177,46821,BHL,1821,1800_1829,61,134,134
bhl_101194,46835,BHL,1884,1870_1889,26,58,58
bhl_101230,46851,BHL,1897,1890_1909,38,89,89
bhl_101235,46855,BHL,1881,1870_1889,23,56,56
bhl_101367,46713,BHL,1914,1910_1929,139,548,548
bhl_101405,46944,BHL,1912,1910_1929,405,957,957
bhl_101494,46985,BHL,1870,1870_1889,28,99,99
bhl_101495,46986,BHL,1870,1870_1889,158,639,639
bhl_101522,47002,BHL,1909,1890_1909,99,224,224
bhl_101605,47043,BHL,1875,1870_1889,125,517,517
bhl_101607,1593,BHL,1809,1800_1829,195,846,846
bhl_102770,48405,BHL,1846,1830_1849,1576,1200,3846
bhl_103251,48632,BHL,1902,1890_1909,531,1200,1989
bhl_103269,48645,BHL,1911,1910_1929,57,237,237
bhl_103307,48665,BHL,1878,1870_1889,88,208,208
bhl_103775,48970,BHL,1881,1870_1889,69,102,102
bhl_103781,48975,BHL,1822,1800_1829,221,433,433
bhl_103837,49008,BHL,1801,1800_1829,349,1062,1062
bhl_103877,49026,BHL,1916,1910_1929,834,1200,2617
bhl_103943,49071,BHL,1892,1890_1909,540,1200,1462
bhl_103948,46640,BHL,1878,1870_1889,30,94,94
bhl_104201,49233,BHL,1874,1870_1889,248,528,528
bhl_104300,49320,BHL,1871,1870_1889,479,1200,1666
bhl_104301,49321,BHL,1879,1870_1889,114,183,183
bhl_104497,49460,BHL,1878,1870_1889,808,1200,1973
bhl_104498,49461,BHL,1869,1850_1869,370,798,798
bhl_104500,48636,BHL,1819,1800_1829,460,958,958
bhl_104501,49464,BHL,1869,1850_1869,34,59,59
bhl_104507,49461,BHL,1869,1850_1869,340,703,703
bhl_104535,49480,BHL,1885,1870_1889,1587,1200,4509
bhl_104561,49493,BHL,1835,1830_1849,356,1146,1146
bhl_104655,49480,BHL,1885,1870_1889,1510,1200,5216
bhl_104872,49480,BHL,1885,1870_1889,1576,1200,4945
bhl_104971,49740,BHL,1876,1870_1889,246,778,778
bhl_104984,49740,BHL,1875,1870_1889,257,813,813
bhl_105027,49765,BHL,1794,1750_1799,75,301,301
bhl_105132,49740,BHL,1875,1870_1889,232,760,760
bhl_105164,49867,BHL,1823,1800_1829,152,397,397
bhl_105176,49740,BHL,1875,1870_1889,240,753,753
bhl_105229,49894,BHL,1782,1750_1799,338,1025,1025
bhl_105230,49894,BHL,1781,1750_1799,345,1200,1239
bhl_105231,49894,BHL,1783,1750_1799,289,1018,1018
bhl_105238,49894,BHL,1783,1750_1799,393,1200,1277
bhl_105289,49740,BHL,1875,1870_1889,263,826,826
bhl_105671,50066,BHL,1852,1850_1869,186,497,497
bhl_105773,50139,BHL,1904,1890_1909,579,1200,1220
bhl_105791,50141,BHL,1889,1870_1889,207,375,375
bhl_105794,50141,BHL,1897,1890_1909,166,189,189
bhl_106365,50141,BHL,1889,1870_1889,9,15,15
bhl_106394,50141,BHL,1889,1870_1889,17,25,25
bhl_106457,50434,BHL,1878,1870_1889,1740,1200,5424
bhl_106469,11812,BHL,1895,1890_1909,442,1200,1306
bhl_106591,50434,BHL,1878,1870_1889,29,102,102
bhl_106596,50464,BHL,1908,1890_1909,60,115,115
bhl_107084,50589,BHL,1873,1870_1889,173,431,431
bhl_107281,50671,BHL,1873,1870_1889,783,1200,1987
bhl_107894,50847,BHL,1824,1800_1829,67,105,105
bhl_107930,50867,BHL,1870,1870_1889,109,218,218
bhl_107935,50872,BHL,1867,1850_1869,150,224,224
bhl_108360,210565,BHL,1832,1830_1849,650,1200,2477
bhl_108616,62215,BHL,1812,1800_1829,286,860,860
bhl_108617,62215,BHL,1812,1800_1829,165,1063,1063
bhl_108653,51166,BHL,1835,1830_1849,172,434,434
bhl_108743,51200,BHL,1867,1850_1869,13,26,26
bhl_109095,51357,BHL,1849,1830_1849,561,1200,1528
bhl_109096,51357,BHL,1849,1830_1849,701,1200,1991
bhl_109346,51450,BHL,1816,1800_1829,290,538,538
bhl_109425,51357,BHL,1849,1830_1849,714,1200,2066
bhl_109426,51357,BHL,1849,1830_1849,982,1200,3186
bhl_109530,62215,BHL,1812,1800_1829,400,1200,1323
bhl_109531,62215,BHL,1812,1800_1829,356,1200,1298
bhl_109794,51562,BHL,1906,1890_1909,576,1200,1329
bhl_109978,51631,BHL,1870,1870_1889,490,1200,1343
bhl_110532,61923,BHL,1912,1910_1929,1532,1200,5648
bhl_110573,51805,BHL,1845,1830_1849,150,245,245
