work,author,year,camp,camp_label,source_chunk,word_count,animal_keywords,text,scan_complete,scan_tag,scan_reasoning
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,2,127,"[""animal""]","Having, however, made no essential alterations in this Essay on Classification, it may not be out of place for me to repeat here such parts of the preface to the first edition as may explain the special purpose of the treatise, and also the frequent allusions, which could not have been omitted without remodelling the wiiole, referring to chapters which belong to other parts of the work. The preface to the complete work above alluded to states that, in consequence of the liberality of the subscription in America, "" this volume, which, according to the original plan, was designed to be one of special descriptive Zoology, contains, in addition to a description of the North American Turtles, a review of the classification of the whole animal kingdom.",TRUE,junk,"Confident: this is just preface/meta discussion about the treatise's purpose, not a definition of animals."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,4,50,"[""animals""]","THE FUNDAMENTAL RELATIONS OF ANIMALS TO ONE ANO-

MODERN classifications of animals and plants are based upon the peculiarities of their structure ; and this is generally considered as the most important, if not the only safe guide in our attempts to determine the natural relations which exist between animals.",TRUE,internal_essence,"Confident: it says animal classifications are based on the 'peculiarities of their structure,' a structural criterion."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,4,114,"[""animal"", ""animals""]","It has appeared to me appropriate, therefore, to present here a short exposition of the leading features of the animal kingdom, as an introduction to the study of Natural History in general and of Embryology in particular, as it would afford a desirable opportunity of establishing a standard of comparison between the changes animals undergo during their growth, and the permanent characters of full-grown individuals of other types; and, perhaps, of showing also what other points beside structure might with advantage be considered in ascertaining the manifold relations of animals to one another, and to the world in which they live, upon which the natural system may be founded.",TRUE,non_divine_teleology,"Confident: animals are compared by their 'relations ... to the world in which they live,' emphasizing their role/relations in nature rather than inner structure alone."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,5,111,"[""animals"", ""birds""]","There is no question in Natural History on which more diversified opinions are entertained, than on that of classification ; not that naturalists disagree as to the necessity of some sort of arrangement in describing animals or plants; for since nature has become the object of special studies, it has been the universal aim of all naturalists to arrange the objects of their investigations in the most natural order possible. Even Buffon, who began the publication of his great Natural History by denying the existence in nature of anything like a system, closed his work by grouping the birds according to certain general features exhibited in common by many of them.",TRUE,junk,"Confident: this is about the general practice and need for classification, with no substantive account of what animals are."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,6,136,"[""species""]","But, whether systems are presented as artificial or natural, they have, to this day, been considered generally as the expression of man's understanding of natural objects, and not as devised by the Supreme Intelligence, and manifested in these objects.1

There is only one point in which all these innumerable systems seem to meet, namely, the existence in nature of distinct species, persisting with all their peculiarities, for a time at least; for even the immutability of species has been questioned.2 Beyond species, however, this confidence in the existence of the divisions generally admitted in zoological systems diminishes greatly. With respect to genera, we already find the number of the naturalists who accept them as natural divisions much smaller; few of them having expressed a belief that genera have an existence in nature as distinct as species.",TRUE,divine_teleology,"Confident: it explicitly contrasts human systems with ones 'devised by the Supreme Intelligence,' invoking divine design."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,6,66,"[""species""]","It

1 The expressions constantly used own making ; which can, however,

with reference to genera and species if the views I shall present below are

and the higher groups in our systems, at all correct, only be true in so far

such as, Mr. A. has made such a species as these groups are not true to nature, agenus; Mr.B.r/«^0_ysthisorthat spe- - LAMARCK ( J.",TRUE,junk,Confident: OCR/fragments and citation debris without any coherent explanatory content.
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,6,47,"[""species""]","Svo. ;

which most naturalists indulge when 2de edit., 1830. — POWELL (TiiE REV.

speaking of their species, their genera, BADEN), Essays on the Spirit of the

their families, their systems, — exhibit Inductive Philosophy, etc., London,

in an unquestionable light their con- 1855, 1 vol. 8vo.",TRUE,junk,Confident: only bibliographic citation fragments and no explanatory claim about animals.
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,7,171,"[""animal""]","4 ESSAY ON CLASSIFICATION.

is a matter of consequence, whether genera are circumscribed in our systematic works within these or those limits ; whether families inclose a wider or more contracted range of genera ; whether such or such orders are admitted in a class, and what are the natural boundaries of classes ; as well as how the classes themselves are related to one another, and whether or not all these groups are considered as resting upon the same foundation in nature. Without venturing here upon an analysis of the various systems of Zoology, — the prominent features of which are sufficiently exemplified for my purpose by the systems of Linnaeus and Cuvier,1 which must be familiar to every student of Natural History — it is certainly a seasonable question to ask, whether the animal kingdom exhibits only those few subdivisions into orders and genera, which the Lhmaean system indicates, or whether the classes differ among themselves to the extent which the system of Cuvier would lead .us to suppose.",TRUE,junk,"Confident: it discusses taxonomic boundaries and systems, but does not define animals or animal parts."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,7,59,"[""animals""]","Embryology, moreover, forces the inquiry upon us at every step, as it is impossible to establish precise comparisons between the different stages of growth of young animals of any higher group, and the permanent characters of full-grown individuals of other types, without first ascertaining what is the value of the divisions with which we may have to compare embryos.",TRUE,junk,"Confident: this is about using embryo comparisons for classification, not what animals are."
Essay on Classification,Louis Agassiz,1859,A,divine_teleology,8,260,"[""animal"", ""animals"", ""lobster"", ""species""]","Suppose that the innumerable articulated animals, which are counted by tens of thousands, nay, perhaps by hundreds of thousands, had never made their appearance upon the surface of our globe, with one single exception: suppose, for instance, that our Lobster (ffomarus americanus) were the only representative of that extraordinarily diversified type, -how should we introduce that species of animal into our systems 1 Simply as a genus with one species, by the side of all the other classes with their orders, families, etc., or as a family containing only one genus with one species, or as a class with one order and one genus, or as a class with one family and one genus 1 And should we acknowledge, by the side of Vertebrata, Mollusca, and Badiata, another type, Articulata, on account of the existence of that one Lobster, or would it be natural to call it by a single name, simply as a species, in contradistinction to all other animals 1 It was the consideration of this supposed case which led me to the investigations detailed below, which, I hope, may end in the ultimate solution of this apparently inextricable question. Though what I have now to say about this supposed case cannot be fully appreciated before reading my remarks in the following chapter,1 respecting the character of the different kinds of groups adopted in our systems, it must be obvious that our Lobster, to be what we see this animal is, must have had its frame constructed upon that very same plan of structure which it exhibits now.",TRUE,internal_essence,"Confident: it says the lobster 'must have had its frame constructed upon' a structural plan, grounding the animal in internal construction."
