uid,raw_chars,clean_chars,quality_before,quality_after,usable
bhl_100200,212300,208381,0.9136,0.9153,1
bhl_100204,993119,961241,0.8099,0.8985,1
bhl_100300,110880,107828,0.8887,0.889,1
bhl_100301,185886,180589,0.869,0.8703,1
bhl_100489,2955520,2875300,0.8726,0.8782,1
bhl_100543,223504,218874,0.8932,0.8965,1
bhl_100549,1036179,1011249,0.8604,0.865,1
bhl_100925,1332010,1302703,0.853,0.8541,1
bhl_100974,245673,238561,0.9359,0.9408,1
bhl_100975,286366,279670,0.9167,0.9264,1
bhl_100984,531302,517955,0.8757,0.8802,1
bhl_100985,1152572,1126071,0.8313,0.835,1
bhl_101041,140175,136176,0.9492,0.9525,1
bhl_101115,452222,418472,0.648,0.6577,1
bhl_101116,1125824,1025093,0.6418,0.651,1
bhl_101177,91249,89110,0.9531,0.9641,1
bhl_101194,51374,50205,0.9585,0.9632,1
bhl_101230,57628,56382,0.9713,0.9748,1
bhl_101235,44417,43365,0.9443,0.9472,1
bhl_101367,259546,251986,0.9479,0.9528,1
bhl_101405,719423,702040,0.955,0.9566,1
bhl_101494,49208,47844,0.9299,0.9386,1
bhl_101495,289512,281937,0.9481,0.9546,1
bhl_101522,346875,336790,0.9188,0.92,1
bhl_101605,228551,223782,0.9145,0.917,1
bhl_101607,376438,363546,0.8939,0.8968,1
bhl_102770,2190091,2148668,0.9573,0.9622,1
bhl_103251,1303413,1272204,0.9158,0.919,1
bhl_103269,101902,99257,0.8909,0.8989,1
bhl_103307,181303,177154,0.9503,0.9567,1
bhl_103775,232036,225569,0.9705,0.979,1
bhl_103781,644462,620255,0.9605,0.9788,1
bhl_103837,645476,621969,0.8302,0.9103,1
bhl_103877,1364073,1329560,0.9247,0.925,1
bhl_103943,1196991,1166194,0.8804,0.8844,1
bhl_103948,62398,58660,0.8133,0.8177,1
bhl_104201,657996,642395,0.9664,0.9718,1
bhl_104300,976808,952018,0.9558,0.9652,1
bhl_104301,451285,438913,0.9524,0.9607,1
bhl_104497,1786718,1741957,0.9546,0.9614,1
bhl_104498,803752,784071,0.9144,0.9183,1
bhl_104500,957507,930504,0.869,0.881,1
bhl_104501,96540,93721,0.9404,0.9481,1
bhl_104507,773999,754637,0.9544,0.9572,1
bhl_104535,2462841,2420431,0.9655,0.9686,1
bhl_104561,756923,735594,0.9509,0.9619,1
bhl_104655,2557089,2507992,0.9551,0.9572,1
bhl_104872,2506791,2460455,0.9518,0.9538,1
bhl_104971,424071,412709,0.9095,0.9105,1
bhl_104984,400307,391705,0.9294,0.9306,1
bhl_105027,134637,129314,0.9301,0.9324,1
bhl_105132,367115,359097,0.9259,0.9274,1
bhl_105164,265259,256702,0.9515,0.9562,1
bhl_105176,368612,359991,0.9286,0.9309,1
bhl_105229,631907,608728,0.8275,0.9065,1
bhl_105230,642029,619938,0.8343,0.9165,1
bhl_105231,554109,533590,0.8286,0.9108,1
bhl_105238,739737,711135,0.819,0.9037,1
bhl_105289,416268,406975,0.9276,0.9298,1
bhl_105671,339287,329540,0.9495,0.9545,1
bhl_105773,1117651,1092545,0.9363,0.9392,1
bhl_105791,626056,612861,0.922,0.9223,1
bhl_105794,577589,552311,0.8435,0.8446,1
bhl_106365,41919,30704,0.6868,0.6947,1
bhl_106394,44972,37483,0.636,0.6424,1
bhl_106457,3040491,2976601,0.9092,0.9115,1
bhl_106469,949130,922270,0.8331,0.8385,1
bhl_106591,84887,79906,0.816,0.821,1
bhl_106596,266152,259656,0.9369,0.942,1
bhl_107084,359251,346589,0.9551,0.9629,1
bhl_107281,1291646,1259784,0.8862,0.8879,1
bhl_107894,138130,133498,0.9486,0.9542,1
bhl_107930,283760,276149,0.9527,0.9601,1
bhl_107935,283105,275199,0.9663,0.9742,1
bhl_108360,1418308,1204667,0.9575,0.966,1
bhl_108616,641969,531697,0.881,0.8872,1
bhl_108617,418392,343808,0.8904,0.8983,1
bhl_108653,353597,300668,0.9173,0.9237,1
bhl_108743,35606,34378,0.8996,0.902,1
bhl_109095,934554,790819,0.9554,0.9587,1
bhl_109096,1177762,997639,0.951,0.9544,1
bhl_109346,761910,712259,0.9236,0.9262,1
bhl_109425,1255595,1059514,0.9389,0.9418,1
bhl_109426,1944766,1643252,0.9126,0.9166,1
bhl_109530,865907,719916,0.876,0.8817,1
bhl_109531,753012,625969,0.9161,0.921,1
bhl_109794,980589,958881,0.9127,0.9191,1
bhl_109978,1370389,1322411,0.8033,0.8047,1
bhl_110532,2758916,2704464,0.838,0.839,1
bhl_110573,326157,316903,0.9335,0.9408,1
bhl_110595,209707,204517,0.9526,0.9549,1
bhl_110596,250880,244722,0.9289,0.9309,1
bhl_110597,186788,182145,0.9431,0.9434,1
bhl_110598,199649,194359,0.9458,0.9486,1
bhl_110695,708523,696257,0.9077,0.9092,1
bhl_110842,769112,747168,0.9225,0.9257,1
bhl_110901,2814599,2756646,0.8197,0.8204,1
bhl_110902,37903,34237,0.28,0.28,0
bhl_110910,548454,535707,0.8389,0.8423,1
bhl_110916,318325,307848,0.8905,0.8923,1
bhl_111025,216335,211422,0.9478,0.949,1
bhl_111026,212041,206169,0.9151,0.9167,1
bhl_111028,703491,602211,0.9307,0.9337,1
bhl_111033,173131,167804,0.9189,0.9204,1
bhl_111198,511509,496718,0.3654,0.3616,0
